date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,10.4,29.1,21.7,0.5,1.8,23.96,89.75,0.666667
2014-01-02,5.7,32.9,21.7,10.3,1.6,26.78,78.25,2.0
2014-01-03,2.7,32.7,22.7,4.2,4.7,26.24,82.0,1.666667
2014-01-04,0.0,31.4,22.2,4.6,3.0,25.2,78.5,1.333333
2014-01-05,0.1,31.1,19.7,4.5,3.1,24.4,75.25,1.0
2014-01-06,26.1,32.1,21.6,8.1,2.8,24.64,80.5,1.333333
2014-01-07,51.5,30.9,20.4,3.5,4.2,25.1,79.75,1.333333
2014-01-08,0.0,31.9,20.5,3.2,2.7,25.24,75.5,1.0
2014-01-09,1.7,29.5,20.6,3.2,2.6,24.42,76.5,0.333333
2014-01-10,0.0,33.8,21.6,11.9,3.1,27.76,62.5,1.0
2014-01-11,0.0,33.9,22.2,11.2,5.4,28.1,61.25,1.333333
2014-01-12,4.0,30.1,19.8,3.0,10.3,23.22,85.75,1.0
2014-01-13,1.4,24.7,20.0,1.6,2.6,22.22,93.75,1.0
2014-01-14,29.0,28.0,18.1,4.7,0.5,23.1,82.5,0.666667
2014-01-15,0.1,27.3,18.3,0.9,3.7,23.0,82.75,0.666667
2014-01-16,15.5,27.2,19.4,2.8,1.3,22.54,91.25,1.333333
2014-01-17,12.8,31.2,19.2,10.4,1.1,24.66,75.25,0.666667
2014-01-18,0.0,32.1,21.4,10.3,3.8,25.46,77.25,0.666667
2014-01-19,1.6,31.7,20.7,11.5,3.5,26.04,63.0,1.0
2014-01-20,0.0,33.6,22.1,12.1,5.5,27.5,50.75,1.666667
2014-01-21,0.0,33.7,22.6,10.2,7.7,27.52,63.5,1.333333
2014-01-22,0.0,32.1,22.9,9.8,4.8,26.48,70.75,1.666667
2014-01-23,1.0,32.0,22.8,9.8,3.4,27.08,69.5,1.0
2014-01-24,0.0,32.8,22.3,7.3,4.6,26.18,76.25,1.0
2014-01-25,12.4,31.8,20.9,8.5,3.0,24.82,79.0,1.333333
2014-01-26,0.0,33.1,22.0,8.5,3.6,25.42,86.5,1.666667
2014-01-27,11.7,34.2,21.7,11.2,3.1,25.82,68.25,1.0
2014-01-28,0.6,33.6,20.4,11.4,4.6,26.32,61.25,1.0
2014-01-29,0.0,34.6,20.1,12.2,4.6,27.78,50.0,1.333333
2014-01-30,0.0,35.2,21.9,12.1,7.2,28.94,48.25,0.666667
2014-01-31,0.0,36.4,22.9,10.8,7.7,29.94,50.25,1.0
2014-02-01,0.0,35.5,24.1,8.6,7.6,29.52,50.25,1.333333
2014-02-02,0.0,35.0,21.1,11.6,7.5,28.8,47.5,1.333333
2014-02-03,0.0,35.6,24.6,11.4,8.3,29.46,41.0,1.666667
2014-02-04,0.0,36.9,23.2,12.0,10.1,29.58,45.0,1.0
2014-02-05,0.0,37.4,21.8,11.9,9.3,29.8,47.5,1.0
2014-02-06,0.0,36.0,19.5,8.3,9.0,27.44,54.0,1.666667
2014-02-07,23.6,36.4,23.2,12.0,6.7,29.56,51.0,0.666667
2014-02-08,0.0,37.6,23.8,12.0,8.2,30.28,43.0,1.0
2014-02-09,1.2,35.6,25.3,6.9,9.6,28.52,52.25,2.333333
2014-02-10,0.0,38.1,22.5,11.9,8.0,29.9,44.75,1.0
2014-02-11,0.0,35.8,22.8,5.5,9.6,27.28,61.5,0.666667
