date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.7,26.3,0.0,8.6,28.76,80.25,0.0
2014-01-02,66.2,37.1,24.5,0.0,4.3,30.64,65.5,0.0
2014-01-03,0.0,36.3,25.8,0.0,5.2,28.74,79.5,0.0
2014-01-04,16.2,25.6,20.3,0.0,3.3,21.74,96.5,0.0
2014-01-05,3.8,25.6,20.5,0.0,1.0,23.26,87.5,0.0
2014-01-06,1.2,28.4,22.3,0.0,0.5,25.0,90.75,0.0
2014-01-07,2.5,29.4,23.5,0.0,0.7,26.4,81.25,0.0
2014-01-08,0.0,32.6,23.0,0.0,0.9,25.72,80.25,0.0
2014-01-09,6.2,29.7,22.0,0.0,1.0,26.1,79.25,0.0
2014-01-10,0.0,31.8,23.3,0.0,0.8,27.64,78.5,0.0
2014-01-11,0.0,32.8,24.6,0.0,1.0,26.96,73.5,0.0
2014-01-12,6.0,28.8,23.7,0.0,1.0,25.6,86.0,0.0
2014-01-13,18.0,30.0,23.3,0.0,0.3,25.54,86.5,0.0
2014-01-14,2.0,32.0,23.3,0.0,0.5,26.52,80.0,0.0
2014-01-15,3.6,31.8,22.1,0.0,0.7,25.56,77.5,0.0
2014-01-16,12.8,30.0,22.3,0.0,0.7,24.84,87.25,0.0
2014-01-17,2.0,30.4,22.2,0.0,0.2,26.0,80.0,0.0
2014-01-18,0.0,30.4,22.2,0.0,0.8,26.04,76.75,0.0
2014-01-19,0.0,31.6,22.5,0.0,0.5,26.36,79.25,0.0
2014-01-20,0.0,31.7,22.3,0.0,0.7,26.52,72.25,0.0
2014-01-21,0.0,31.4,23.3,0.0,0.8,27.52,79.5,0.0
2014-01-22,0.6,36.1,26.2,0.0,1.0,29.98,77.0,0.0
2014-01-23,0.0,34.8,25.3,0.0,1.0,28.58,79.0,0.0
2014-01-24,2.7,35.0,24.4,0.0,1.0,29.12,77.25,0.0
2014-01-25,13.2,29.9,24.6,0.0,4.6,26.58,83.75,0.0
2014-01-26,58.8,29.9,22.7,0.0,4.0,26.16,84.75,0.0
2014-01-27,0.7,32.3,25.3,0.0,2.5,28.12,79.75,0.0
2014-01-28,0.0,32.4,24.8,0.0,4.5,28.04,78.25,0.0
2014-01-29,0.0,33.9,25.5,0.0,4.9,29.24,76.5,0.0
2014-01-30,0.0,32.4,25.3,0.0,4.5,28.76,76.75,0.0
2014-01-31,0.0,33.1,26.3,0.0,3.6,28.98,79.25,0.0
2014-02-01,0.0,35.2,26.1,0.0,2.7,29.96,69.25,0.0
2014-02-02,0.0,33.5,24.0,0.0,2.6,28.64,79.75,0.0
2014-02-03,0.0,33.5,26.9,0.0,2.7,29.4,78.25,0.0
2014-02-04,0.0,34.5,25.7,0.0,2.0,29.56,77.5,0.0
2014-02-05,0.0,33.8,26.3,0.0,5.0,29.26,80.0,0.0
2014-02-06,0.0,33.7,25.5,0.0,4.0,28.76,75.75,0.0
2014-02-07,0.0,34.9,25.3,0.0,4.0,29.44,75.75,0.0
2014-02-08,0.0,35.1,27.2,0.0,5.0,30.1,76.25,0.0
2014-02-09,0.0,35.0,24.9,0.0,3.0,29.62,71.25,0.0
2014-02-10,0.0,34.1,26.0,0.0,3.2,29.22,77.25,0.0
2014-02-11,0.0,32.8,24.5,0.0,2.3,29.0,67.25,0.0
2014-02-12,0.0,34.8,24.0,0.0,6.2,29.1,73.75,0.0
2014-02-13,0.4,33.0,25.5,0.0,5.3,28.46,73.0,0.0
2014-02-14,0.0,30.6,21.5,0.0,4.5,24.7,88.5,0.0
2014-02-15,101.7,22.7,20.7,0.0,2.0,21.94,95.0,0.0
2014-02-16,55.0,24.4,20.8,0.0,1.7,22.46,93.25,0.0
2014-02-17,22.9,27.4,20.7,0.0,1.5,24.42,83.5,0.0
2014-02-18,20.8,27.8,22.2,0.0,1.3,24.72,79.75,0.0
2014-02-19,0.0,28.4,20.5,0.0,1.0,24.22,80.75,0.0
2014-02-20,0.0,29.2,20.5,0.0,1.5,25.06,78.0,0.0
2014-02-21,0.0,30.4,22.7,0.0,1.0,26.14,80.25,0.0
2014-02-22,0.0,29.8,23.7,0.0,0.8,26.42,86.25,0.0
2014-02-23,0.0,30.2,24.7,0.0,0.7,27.18,82.25,0.0
2014-02-24,3.0,32.6,24.0,0.0,0.7,26.9,76.25,0.0
2014-02-25,0.0,33.5,23.5,0.0,5.5,26.94,81.25,0.0
2014-02-26,14.0,32.0,23.3,0.0,3.7,26.92,83.5,0.0
2014-02-27,0.0,32.6,24.7,0.0,3.3,26.8,90.5,0.0
2014-02-28,19.9,26.0,21.6,0.0,1.4,23.24,92.0,0.0
2014-03-01,4.4,28.6,22.0,0.0,1.0,25.02,83.75,0.0
2014-03-02,3.4,27.8,22.3,0.0,0.6,24.68,78.75,0.0
2014-03-03,1.1,27.8,22.5,0.0,2.0,24.94,81.75,0.0
2014-03-04,0.0,28.7,22.7,0.0,0.7,25.4,85.75,0.0
2014-03-05,42.4,26.8,21.7,0.0,1.0,24.22,89.25,0.0
2014-03-06,2.4,31.4,22.3,0.0,1.8,26.3,76.75,0.0
2014-03-07,0.0,28.6,22.1,0.0,3.0,25.46,75.25,0.0
2014-03-08,0.0,29.2,21.0,0.0,4.2,24.96,76.0,0.0
2014-03-09,2.2,29.4,21.3,0.0,4.4,25.02,83.5,0.0
2014-03-10,0.0,31.1,23.3,0.0,3.6,26.76,84.0,0.0
2014-03-11,3.2,26.4,22.7,0.0,3.5,23.9,92.5,0.0
2014-03-12,14.6,25.2,22.5,0.0,1.3,23.74,93.75,0.0
2014-03-13,41.8,23.8,22.0,0.0,0.7,23.08,97.5,0.0
2014-03-14,54.1,29.5,22.4,0.0,1.5,25.9,83.75,0.0
2014-03-15,0.0,33.6,22.7,0.0,2.0,27.74,86.0,0.0
2014-03-16,0.0,30.4,24.9,0.0,2.0,26.98,84.75,0.0
2014-03-17,0.0,34.5,24.1,0.0,2.0,27.48,79.0,0.0
2014-03-18,18.1,31.4,23.1,0.0,2.2,25.8,81.75,0.0
2014-03-19,1.1,30.4,24.7,0.0,1.3,26.84,83.75,0.0
2014-03-20,1.0,30.5,24.4,0.0,1.5,26.04,88.5,0.0
2014-03-21,0.8,27.4,24.1,0.0,2.2,25.48,90.5,0.0
2014-03-22,3.8,26.6,22.9,0.0,1.1,23.94,86.0,0.0
2014-03-23,1.4,23.6,18.3,0.0,1.1,20.76,77.0,0.0
2014-03-24,0.9,26.4,19.5,0.0,1.1,23.26,74.75,0.0
2014-03-25,1.1,27.2,20.1,0.0,1.0,23.02,85.5,0.0
2014-03-26,0.2,26.8,20.1,0.0,1.0,23.54,83.0,0.0
2014-03-27,24.6,28.0,20.7,0.0,0.8,24.1,86.5,0.0
2014-03-28,0.6,28.8,21.4,0.0,1.0,24.4,86.75,0.0
2014-03-29,1.2,29.2,21.9,0.0,0.7,25.46,84.0,0.0
2014-03-30,0.0,27.2,22.5,0.0,1.0,24.98,87.25,0.0
2014-03-31,11.6,29.2,22.9,0.0,0.3,25.42,91.5,0.0
2014-04-01,0.2,29.6,24.0,0.0,0.7,25.96,86.75,0.0
2014-04-02,1.4,27.9,23.6,0.0,0.8,24.88,82.5,0.0
2014-04-03,19.3,26.0,22.3,0.0,0.7,24.04,90.25,0.0
2014-04-04,49.3,27.4,21.9,0.0,0.8,24.4,84.75,0.0
2014-04-05,2.2,29.0,21.1,0.0,0.8,24.4,84.0,0.0
2014-04-06,0.0,29.8,20.9,0.0,0.8,24.36,82.75,0.0
2014-04-07,0.0,29.4,20.9,0.0,0.7,24.62,84.5,0.0
2014-04-08,0.0,29.6,22.9,0.0,0.5,25.5,82.0,0.0
2014-04-09,3.6,26.0,21.9,0.0,1.0,23.9,87.75,0.0
2014-04-10,0.0,28.4,21.7,0.0,1.5,24.22,84.25,0.0
2014-04-11,0.0,28.1,22.3,0.0,1.7,24.8,87.0,0.0
2014-04-12,0.0,30.2,23.3,0.0,2.3,25.78,90.0,0.0
2014-04-13,8.2,25.3,22.0,0.0,3.0,22.98,77.75,0.0
2014-04-14,4.9,22.6,17.9,0.0,1.0,19.04,88.75,0.0
2014-04-15,4.0,20.2,17.6,0.0,1.5,18.96,95.25,0.0
2014-04-16,20.6,25.0,18.6,0.0,0.2,21.58,94.5,0.0
2014-04-17,0.3,27.3,20.1,0.0,1.0,23.38,85.5,0.0
2014-04-18,0.0,28.9,20.9,0.0,2.0,24.06,85.5,0.0
2014-04-19,0.0,27.8,21.6,0.0,2.4,23.54,90.5,0.0
2014-04-20,20.6,26.4,21.1,0.0,2.0,22.94,87.5,0.0
2014-04-21,2.0,25.0,20.3,0.0,2.6,22.3,86.25,0.0
2014-04-22,0.0,26.4,21.3,0.0,1.5,22.62,89.75,0.0
2014-04-23,15.1,23.1,20.0,0.0,1.0,20.94,86.25,0.0
2014-04-24,0.8,24.0,19.1,0.0,2.5,20.66,93.5,0.0
2014-04-25,1.0,23.4,18.1,0.0,1.6,20.5,84.5,0.0
2014-04-26,18.8,23.4,18.1,0.0,1.4,20.3,78.75,0.0
2014-04-27,0.0,22.8,17.0,0.0,4.5,18.84,90.5,0.0
2014-04-28,19.4,24.6,16.9,0.0,1.5,20.36,74.25,0.0
2014-04-29,0.0,24.7,16.5,0.0,2.8,20.08,81.5,0.0
2014-04-30,0.0,23.4,16.3,0.0,3.0,19.74,86.0,0.0
2014-05-01,0.0,28.2,17.8,0.0,1.8,23.86,65.0,0.0
2014-05-02,0.0,26.6,18.2,0.0,6.1,22.12,73.5,0.0
2014-05-03,0.0,27.5,19.8,0.0,3.5,23.2,76.75,0.0
2014-05-04,0.0,28.4,19.4,0.0,2.6,22.68,84.5,0.0
2014-05-05,0.0,25.4,19.4,0.0,2.9,22.48,86.75,0.0
2014-05-06,0.8,28.0,20.3,0.0,1.1,23.1,86.0,0.0
2014-05-07,0.0,29.0,20.9,0.0,2.0,23.5,86.0,0.0
2014-05-08,0.0,30.0,21.3,0.0,2.0,24.34,83.0,0.0
2014-05-09,11.7,23.6,20.0,0.0,2.8,20.88,84.5,0.0
2014-05-10,2.8,20.6,16.0,0.0,2.2,18.08,88.75,0.0
2014-05-11,12.9,22.4,17.1,0.0,2.0,19.22,87.25,0.0
2014-05-12,0.8,25.0,16.9,0.0,1.0,19.78,82.5,0.0
2014-05-13,0.0,25.8,16.5,0.0,2.5,20.52,86.75,0.0
2014-05-14,0.0,24.4,17.9,0.0,2.0,20.8,88.25,0.0
2014-05-15,0.0,26.2,19.0,0.0,1.5,22.26,83.75,0.0
2014-05-16,1.3,25.2,18.7,0.0,1.5,21.34,85.5,0.0
2014-05-17,0.0,24.2,16.9,0.0,2.7,20.72,85.75,0.0
2014-05-18,0.0,26.5,18.0,0.0,1.6,21.84,85.0,0.0
2014-05-19,0.0,25.0,20.8,0.0,2.4,22.12,90.0,0.0
2014-05-20,0.0,26.6,19.1,0.0,2.3,21.82,86.0,0.0
2014-05-21,0.0,25.6,19.3,0.0,2.1,21.76,89.0,0.0
2014-05-22,0.0,23.6,19.5,0.0,2.2,21.96,94.0,0.0
2014-05-23,8.6,22.6,14.7,0.0,0.8,17.24,97.5,0.0
2014-05-24,12.6,16.6,14.4,0.0,0.9,15.9,87.0,0.0
2014-05-25,2.6,17.6,14.7,0.0,0.9,16.2,96.75,0.0
2014-05-26,21.1,22.0,15.9,0.0,0.4,19.3,83.5,0.0
2014-05-27,0.0,20.4,17.1,0.0,1.6,18.26,85.0,0.0
2014-05-28,0.4,22.0,15.1,0.0,2.7,17.82,84.25,0.0
2014-05-29,0.0,21.6,15.0,0.0,2.2,18.0,78.25,0.0
2014-05-30,0.0,23.6,15.5,0.0,1.5,18.78,86.0,0.0
2014-05-31,0.0,21.9,15.5,0.0,2.5,18.76,87.25,0.0
2014-06-01,5.2,27.6,17.1,0.0,1.0,20.98,81.0,0.0
2014-06-02,0.0,22.7,14.7,0.0,2.5,17.02,74.0,0.0
2014-06-03,0.0,22.8,10.9,0.0,3.1,15.7,77.0,0.0
2014-06-04,0.0,21.8,11.5,0.0,2.9,15.82,81.0,0.0
2014-06-05,0.0,23.0,13.3,0.0,2.1,18.02,89.5,0.0
2014-06-06,20.8,24.4,15.9,0.0,0.9,19.68,94.25,0.0
2014-06-07,51.2,21.4,18.5,0.0,0.7,20.02,96.75,0.0
2014-06-08,6.8,23.7,19.1,0.0,0.3,20.46,94.5,0.0
