date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.7,35.5,20.0,0.0,4.9,26.02,78.75,1.0
2014-01-02,12.4,33.1,20.0,0.0,5.0,25.46,81.25,1.0
2014-01-03,0.0,35.6,21.0,0.0,5.0,26.48,72.0,1.0
2014-01-04,0.0,33.1,21.0,0.0,5.0,26.9,75.75,1.333333
2014-01-05,0.0,32.1,19.4,0.0,5.0,24.78,73.25,1.0
2014-01-06,0.0,32.1,16.5,0.0,5.0,23.8,74.75,1.0
2014-01-07,0.0,29.6,17.6,0.0,6.4,21.3,71.5,1.0
2014-01-08,0.0,31.1,15.7,0.0,5.6,22.44,72.75,1.333333
2014-01-09,0.0,33.5,15.8,0.0,6.0,24.54,63.0,1.666667
2014-01-10,0.0,32.1,17.8,0.0,7.0,23.38,74.0,2.0
2014-01-11,0.0,33.1,19.7,0.0,6.0,24.94,70.0,1.0
2014-01-12,0.0,33.4,19.0,0.0,6.0,25.36,70.75,1.333333
2014-01-13,0.0,33.6,20.0,0.0,6.3,25.6,68.75,1.333333
2014-01-14,0.0,33.6,19.0,0.0,5.7,25.04,71.0,1.0
2014-01-15,0.0,35.7,17.4,0.0,7.4,26.02,65.75,1.0
2014-01-16,0.0,34.3,17.8,0.0,7.6,23.58,74.25,1.0
2014-01-17,42.3,30.1,18.2,0.0,6.5,21.9,87.75,1.0
2014-01-18,15.8,30.1,18.2,0.0,3.5,22.34,80.5,1.0
2014-01-19,0.0,30.6,17.3,0.0,6.2,22.82,78.5,1.0
2014-01-20,0.0,32.6,17.2,0.0,4.5,23.64,76.25,1.0
2014-01-21,16.0,32.3,19.0,0.0,3.9,25.02,72.0,1.333333
2014-01-22,0.0,33.6,20.0,0.0,5.4,25.72,71.25,1.333333
2014-01-23,0.0,33.1,19.0,0.0,5.5,24.26,80.5,1.0
2014-01-24,0.0,33.1,17.8,0.0,4.5,25.06,72.0,1.0
2014-01-25,0.0,33.3,17.8,0.0,5.5,24.96,71.5,1.333333
2014-01-26,0.0,33.1,18.5,0.0,5.4,25.32,72.5,1.0
2014-01-27,0.0,33.1,18.5,0.0,5.0,24.52,72.75,1.0
2014-01-28,0.0,32.6,16.9,0.0,5.6,22.78,68.75,1.333333
