date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.7,21.7,9.3,1.1,27.08,0.0,0.0
2014-01-02,0.2,33.6,20.3,11.3,2.7,26.38,0.0,0.0
2014-01-03,0.0,34.7,19.5,11.5,2.3,27.04,0.0,0.0
2014-01-04,0.0,34.6,21.3,11.1,2.4,26.18,0.0,0.0
2014-01-05,0.0,31.6,20.3,9.1,2.6,24.26,0.0,0.0
2014-01-06,0.0,30.2,18.3,11.0,2.8,23.98,0.0,0.0
2014-01-07,0.0,29.7,16.3,10.7,1.9,23.04,0.0,0.0
2014-01-08,0.0,30.7,17.5,8.5,2.6,23.76,0.0,0.0
2014-01-09,0.0,31.2,18.1,10.4,2.2,24.14,0.0,0.0
2014-01-10,0.0,31.2,19.1,9.5,2.2,24.98,0.0,0.0
2014-01-11,0.0,32.2,19.9,6.6,2.0,25.74,0.0,0.0
2014-01-12,0.0,32.3,20.5,8.8,2.3,25.32,0.0,0.0
2014-01-13,0.0,32.0,18.5,10.2,2.3,25.18,0.0,0.0
2014-01-14,0.0,32.9,19.5,11.0,2.2,24.8,0.0,0.0
2014-01-15,0.0,34.2,19.1,10.7,2.3,26.22,0.0,0.0
2014-01-16,0.0,33.8,19.1,10.9,2.9,26.58,0.0,0.0
2014-01-17,0.0,30.2,20.7,2.4,3.0,23.22,0.0,0.0
2014-01-18,25.1,27.7,18.3,3.5,1.0,21.92,0.0,0.0
2014-01-19,25.0,29.9,19.1,7.5,1.5,22.88,0.0,0.0
2014-01-20,0.6,30.5,17.9,8.1,2.5,24.08,0.0,0.0
2014-01-21,0.0,31.0,19.1,9.4,1.9,25.02,0.0,0.0
2014-01-22,0.0,32.2,19.7,8.4,2.1,25.54,0.0,0.0
2014-01-23,0.0,33.9,19.9,10.0,2.4,25.92,0.0,0.0
2014-01-24,0.0,32.6,21.1,9.0,2.6,25.74,0.0,0.0
2014-01-25,0.0,33.9,19.5,10.1,1.8,25.76,0.0,0.0
2014-01-26,0.0,33.0,19.1,11.7,2.4,25.34,0.0,0.0
2014-01-27,0.0,32.4,20.1,10.3,2.7,25.54,0.0,0.0
2014-01-28,0.0,32.2,18.4,10.4,2.1,24.52,0.0,0.0
2014-01-29,0.0,31.8,16.9,10.6,2.0,24.02,0.0,0.0
2014-01-30,0.0,31.8,17.9,11.7,2.5,24.78,0.0,0.0
2014-01-31,0.0,32.8,18.1,11.6,2.8,25.3,0.0,0.0
2014-02-01,0.0,33.2,18.9,11.7,3.1,25.46,0.0,0.0
2014-02-02,0.0,33.2,19.7,11.5,2.9,25.74,0.0,0.0
2014-02-03,0.0,33.5,19.5,11.2,2.9,25.96,0.0,0.0
2014-02-04,0.0,33.2,19.0,10.9,2.6,25.68,0.0,0.0
2014-02-05,0.0,32.2,18.4,11.6,2.9,25.2,0.0,0.0
2014-02-06,0.0,32.2,17.4,11.5,3.1,25.2,0.0,0.0
2014-02-07,0.0,33.2,19.1,11.6,2.6,24.9,0.0,0.0
2014-02-08,0.0,33.2,18.9,11.5,2.8,24.98,0.0,0.0
2014-02-09,0.0,33.0,19.5,10.7,2.8,24.26,0.0,0.0
2014-02-10,0.0,34.0,18.3,11.4,2.7,25.34,0.0,0.0
2014-02-11,0.0,31.9,17.5,7.9,2.3,23.76,0.0,0.0
2014-02-12,0.0,32.8,16.7,11.5,2.0,25.14,0.0,0.0
2014-02-13,0.0,33.6,18.3,10.3,3.4,25.66,0.0,0.0
2014-02-14,0.0,33.8,19.3,9.2,3.3,25.46,0.0,0.0
2014-02-15,0.0,29.1,21.7,0.9,3.0,24.64,0.0,0.0
2014-02-16,0.0,30.0,20.1,4.2,1.3,22.86,0.0,0.0
2014-02-17,1.0,28.0,19.8,0.2,1.4,22.2,0.0,0.0
2014-02-18,8.3,27.7,17.4,5.8,1.3,22.02,0.0,0.0
2014-02-19,0.0,29.8,17.7,9.4,1.7,23.82,0.0,0.0
2014-02-20,0.0,30.9,16.5,10.8,2.3,23.16,0.0,0.0
2014-02-21,0.0,31.4,16.8,7.0,2.1,23.72,0.0,0.0
2014-02-22,0.0,31.0,17.9,9.1,2.6,23.86,0.0,0.0
2014-02-23,0.0,31.6,18.3,10.4,1.7,24.38,0.0,0.0
2014-02-24,0.0,32.6,19.5,9.6,2.6,25.14,0.0,0.0
2014-02-25,0.0,32.4,18.3,8.9,2.5,24.38,0.0,0.0
2014-02-26,0.0,32.2,17.5,10.0,2.9,25.1,0.0,0.0
2014-02-27,0.0,33.8,19.1,10.4,2.5,25.94,0.0,0.0
2014-02-28,0.0,34.2,19.9,9.2,2.7,26.94,0.0,0.0
2014-03-01,0.0,34.4,20.3,7.1,2.5,24.34,0.0,0.0
2014-03-02,31.4,26.7,19.5,0.5,0.5,21.84,0.0,0.0
2014-03-03,0.7,29.6,19.5,6.6,2.5,23.3,0.0,0.0
2014-03-04,0.0,29.2,17.7,6.5,1.9,23.02,0.0,0.0
2014-03-05,0.0,29.0,18.1,6.6,1.7,23.58,0.0,0.0
2014-03-06,0.0,27.7,19.3,0.2,1.9,22.68,0.0,0.0
2014-03-07,6.8,30.6,20.3,6.5,1.0,23.86,0.0,0.0
2014-03-08,22.4,24.0,20.7,0.0,1.7,21.46,0.0,0.0
2014-03-09,10.7,27.8,19.5,5.4,0.5,22.18,0.0,0.0
2014-03-10,0.0,29.7,19.9,4.5,1.1,24.36,0.0,0.0
2014-03-11,0.0,31.2,19.4,8.9,1.6,23.68,0.0,0.0
2014-03-12,0.0,31.7,18.2,10.1,1.8,24.74,0.0,0.0
2014-03-13,0.0,30.5,19.1,5.8,2.1,23.8,0.0,0.0
2014-03-14,0.0,30.7,19.4,9.6,1.9,23.94,0.0,0.0
2014-03-15,0.0,28.7,18.3,8.0,1.9,22.44,0.0,0.0
2014-03-16,0.0,32.2,17.9,10.0,2.0,23.42,0.0,0.0
2014-03-17,0.0,31.6,17.6,10.3,2.2,23.08,0.0,0.0
2014-03-18,0.0,32.0,17.1,9.6,2.3,24.46,0.0,0.0
2014-03-19,0.0,31.5,17.7,10.1,2.4,24.52,0.0,0.0
2014-03-20,0.0,32.2,18.4,9.0,2.4,24.6,0.0,0.0
2014-03-21,0.0,33.6,20.1,8.7,2.2,26.34,0.0,0.0
2014-03-22,3.9,32.2,22.1,5.4,2.5,24.78,0.0,0.0
2014-03-23,0.5,26.7,21.1,0.6,2.5,23.48,0.0,0.0
2014-03-24,0.0,25.5,17.9,0.6,2.0,21.76,0.0,0.0
2014-03-25,0.0,26.7,18.3,1.2,2.4,22.48,0.0,0.0
2014-03-26,0.0,29.5,19.1,5.6,1.8,22.8,0.0,0.0
2014-03-27,0.0,29.2,16.5,5.0,2.0,22.02,0.0,0.0
2014-03-28,0.7,28.4,17.3,5.8,1.5,22.02,0.0,0.0
