date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.6,22.2,8.9,8.1,27.5,52.75,3.0
2014-01-02,0.0,34.1,23.4,7.4,10.1,27.66,52.75,3.0
2014-01-03,0.0,35.3,23.2,10.4,9.2,27.6,52.75,3.0
2014-01-04,0.0,35.1,21.4,9.5,9.7,27.02,58.25,3.0
2014-01-05,0.0,32.9,23.4,7.2,8.2,27.94,55.0,3.0
2014-01-06,0.0,30.7,24.2,0.6,9.0,26.82,64.5,3.0
2014-01-07,0.0,32.0,23.5,3.6,7.5,27.54,57.75,3.0
2014-01-08,0.0,33.7,22.9,6.9,9.9,27.72,51.75,3.0
2014-01-09,0.0,32.5,24.0,3.7,9.6,27.02,70.0,3.0
2014-01-10,2.4,32.7,24.0,2.6,5.3,27.34,64.0,4.0
2014-01-11,0.0,32.9,22.2,9.5,8.5,27.26,61.0,5.0
2014-01-12,0.0,33.7,22.2,5.9,8.7,27.66,65.0,4.0
2014-01-13,0.0,32.9,24.0,3.0,8.5,27.22,71.0,3.0
2014-01-14,1.2,33.5,22.7,9.9,6.0,27.48,65.0,3.0
2014-01-15,0.0,35.3,24.0,8.9,9.4,28.66,62.0,3.0
2014-01-16,0.0,35.7,22.7,9.4,9.1,28.48,56.0,3.0
2014-01-17,0.0,34.6,23.5,4.1,9.0,28.12,66.0,2.0
2014-01-18,0.0,35.5,23.0,7.3,6.3,28.34,68.0,3.0
2014-01-19,0.4,33.7,23.0,6.8,6.9,27.66,67.0,2.0
2014-01-20,4.4,33.9,24.4,5.7,6.0,27.66,63.0,4.0
2014-01-21,0.0,34.9,22.8,8.5,8.1,27.9,55.0,3.0
2014-01-22,0.0,35.3,21.6,9.6,9.0,28.02,54.0,3.0
2014-01-23,0.0,35.5,23.2,9.7,11.5,28.38,60.0,3.0
2014-01-24,0.0,35.7,23.2,9.7,9.9,28.42,55.0,2.0
2014-01-25,0.0,35.1,21.7,10.5,11.2,27.96,59.0,3.0
2014-01-26,0.0,35.3,24.0,7.9,11.4,28.22,63.0,4.0
2014-01-27,0.2,35.3,23.6,9.7,8.1,28.46,61.0,4.0
2014-01-28,0.0,35.1,22.8,9.6,11.5,28.02,56.0,4.0
2014-01-29,0.0,33.3,23.0,8.7,12.3,28.22,56.0,4.0
2014-01-30,0.0,29.3,22.8,0.4,9.5,25.56,72.0,3.0
2014-01-31,0.4,33.9,22.0,10.1,4.6,27.3,64.0,3.0
2014-02-01,0.0,35.1,23.8,8.8,9.9,28.66,52.0,2.666667
2014-02-02,0.0,35.9,24.6,11.3,10.1,28.42,56.5,2.666667
2014-02-03,0.0,36.1,23.8,8.6,9.8,27.58,59.75,2.0
2014-02-04,0.0,34.5,23.6,7.4,7.3,28.06,54.0,3.333333
2014-02-05,0.0,33.9,23.0,9.3,9.0,27.66,50.25,2.0
2014-02-06,0.0,34.1,20.7,5.6,9.9,27.34,55.75,2.0
2014-02-07,0.0,34.3,22.4,6.8,6.8,27.66,58.0,2.0
2014-02-08,0.2,34.7,23.8,6.8,7.5,27.98,62.25,2.666667
