date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.9,23.9,9.8,12.3,28.84,57.0,6.9
2014-01-02,0.0,35.2,24.1,9.5,15.1,28.68,58.0,6.4
2014-01-03,0.0,36.0,23.6,10.9,14.5,28.72,53.0,6.45
2014-01-04,0.0,35.9,22.0,10.2,15.1,28.28,61.0,5.05
2014-01-05,0.0,33.6,23.8,7.9,13.0,28.8,56.0,5.55
2014-01-06,0.0,31.5,24.9,1.5,11.3,27.58,63.0,4.55
2014-01-07,0.0,33.1,24.2,1.3,9.4,28.58,5.0,4.6
2014-01-08,0.0,35.2,22.7,7.8,10.8,28.52,54.0,4.9
2014-01-09,0.0,34.5,22.7,5.7,13.5,27.48,69.0,3.05
2014-01-10,27.1,32.7,22.7,2.9,5.6,27.62,63.0,4.7
2014-01-11,0.0,32.7,22.0,8.8,10.9,27.28,65.0,3.65
2014-01-12,0.0,33.6,24.2,8.6,10.5,28.52,61.0,5.85
2014-01-13,0.0,33.3,24.1,4.0,11.6,27.98,67.0,4.55
2014-01-14,0.4,34.6,23.2,9.4,8.3,28.76,59.0,5.2
2014-01-15,0.0,35.1,24.0,9.2,13.1,28.92,63.0,4.4
2014-01-16,0.0,36.1,22.2,9.9,10.0,28.88,57.0,5.2
2014-01-17,0.0,35.2,24.4,5.4,12.7,29.1,64.0,4.95
2014-01-18,0.0,37.7,25.2,10.7,9.8,29.84,63.0,4.65
2014-01-19,0.0,36.0,24.9,9.4,12.6,29.4,64.0,4.65
2014-01-20,0.0,35.2,25.4,8.3,10.5,28.44,65.0,5.3
2014-01-21,0.0,36.5,22.6,10.8,12.6,28.84,55.0,5.15
2014-01-22,0.0,36.1,22.0,10.0,13.6,29.04,49.0,4.8
2014-01-23,0.0,36.5,23.6,10.2,17.0,29.44,57.0,4.45
2014-01-24,0.0,37.2,23.6,10.8,15.3,29.36,52.0,5.45
2014-01-25,0.0,36.3,22.8,11.7,17.4,29.32,52.0,5.05
2014-01-26,0.0,36.1,24.3,9.1,16.5,29.32,60.0,5.65
