date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.6,23.0,9.7,8.1,28.92,60.0,5.4
2014-01-02,0.0,33.0,24.2,11.0,10.5,28.12,69.0,5.45
2014-01-03,0.0,34.0,22.6,11.0,8.3,28.36,59.0,5.45
2014-01-04,0.0,31.8,22.2,10.3,9.7,27.16,68.0,5.4
2014-01-05,0.0,33.0,22.8,6.3,7.8,29.04,58.0,3.4
2014-01-06,0.0,35.0,24.2,5.4,7.8,28.76,68.0,4.4
2014-01-07,1.8,33.2,24.0,3.7,6.5,29.24,60.0,5.5
2014-01-08,0.0,33.4,24.4,10.9,10.2,28.64,62.0,5.4
2014-01-09,0.0,32.2,23.0,5.0,7.8,27.68,71.0,4.4
2014-01-10,0.0,32.2,24.0,9.9,7.2,28.36,64.0,5.4
2014-01-11,0.0,33.2,22.4,10.4,8.1,27.92,66.0,5.4
2014-01-12,0.0,32.6,23.8,9.9,8.0,28.08,72.0,4.4
2014-01-13,0.0,32.4,23.8,7.2,7.2,27.92,69.0,5.5
2014-01-14,0.0,34.2,23.6,8.0,7.0,29.04,65.0,5.4
2014-01-15,0.0,34.2,23.2,10.6,7.4,28.88,64.0,4.45
2014-01-16,0.0,33.8,24.8,10.7,8.9,29.0,66.0,4.4
2014-01-17,0.0,32.8,24.6,10.1,7.7,28.6,72.0,4.45
2014-01-18,0.0,33.0,24.0,10.5,6.2,28.56,70.0,5.45
2014-01-19,0.0,32.4,25.2,9.1,7.8,28.56,68.0,5.45
2014-01-20,0.0,31.4,26.0,9.5,8.7,28.28,67.0,5.4
2014-01-21,0.0,32.2,23.4,9.6,8.3,28.36,62.0,4.4
2014-01-22,0.0,35.0,24.2,9.0,9.5,29.64,58.0,4.45
2014-01-23,0.0,35.4,25.0,10.4,9.6,29.56,62.0,4.45
2014-01-24,0.0,33.4,23.2,10.2,8.2,28.72,64.0,4.4
2014-01-25,0.0,34.2,24.2,10.4,7.8,29.04,62.0,4.4
2014-01-26,0.0,34.0,24.0,6.7,8.0,29.08,64.0,4.4
2014-01-27,0.0,34.6,24.2,9.4,7.8,29.0,68.0,4.4
2014-01-28,0.0,35.4,23.8,10.2,7.7,29.12,65.0,5.4
2014-01-29,0.0,35.6,24.0,10.3,8.0,29.04,67.0,4.4
2014-01-30,0.0,30.0,24.2,0.1,4.5,27.2,71.0,3.4
2014-01-31,2.8,35.6,22.4,10.8,3.5,28.4,67.0,5.4
2014-02-01,0.0,34.0,25.0,8.9,6.0,29.24,60.0,5.4
2014-02-02,0.0,35.8,24.2,11.0,5.0,29.64,62.0,4.45
2014-02-03,0.0,32.0,24.2,9.6,7.0,28.12,68.0,5.45
2014-02-04,2.2,33.2,25.0,9.6,6.1,28.4,71.0,5.45
