date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,36.4,23.3,8.1,8.5,29.7,54.25,1.533333
2014-01-02,0.0,36.5,23.9,9.7,8.2,29.64,58.25,1.066667
2014-01-03,0.0,36.5,23.9,11.1,8.1,29.8,54.5,2.4666669999999997
2014-01-04,0.0,37.3,23.4,10.8,10.8,29.58,61.25,1.633333
2014-01-05,0.0,34.6,25.4,3.4,9.0,30.2,54.0,0.366667
2014-01-06,0.0,33.1,25.2,2.4,7.7,28.68,66.25,0.833333
2014-01-07,0.0,32.3,24.6,0.0,7.4,28.64,60.75,0.533333
2014-01-08,0.0,36.3,23.2,9.1,7.0,29.62,54.0,2.3
2014-01-09,0.0,34.6,24.8,6.0,8.2,28.32,69.5,0.8
2014-01-10,0.0,34.8,25.2,4.4,5.2,29.46,57.5,1.2
2014-01-11,0.0,34.7,23.2,9.2,8.8,28.7,61.75,1.8
2014-01-12,0.0,35.2,24.0,8.5,7.8,29.92,57.5,1.366667
2014-01-13,0.0,34.5,24.7,4.6,7.6,28.24,76.25,1.066667
2014-01-14,4.9,35.4,23.0,8.7,5.4,29.28,63.75,2.8
2014-01-15,0.0,36.9,24.4,8.7,8.5,30.48,63.0,2.0333330000000003
2014-01-16,0.0,37.0,23.6,8.8,7.1,30.14,59.75,0.8
2014-01-17,0.0,35.4,24.6,3.7,7.7,29.54,63.5,0.8
2014-01-18,0.0,39.0,25.4,10.5,8.2,31.3,65.0,2.8666669999999996
2014-01-19,0.0,37.8,24.9,8.8,8.7,30.48,62.0,0.8
2014-01-20,80.2,35.8,23.6,9.4,5.9,29.04,57.5,0.333333
2014-01-21,0.0,36.6,23.0,10.1,5.4,29.48,49.75,1.8
2014-01-22,0.0,37.2,23.3,10.3,9.9,30.12,45.25,2.2
2014-01-23,6.9,32.8,23.8,9.9,10.2,29.4,52.5,1.1
2014-01-24,0.0,38.4,24.4,9.9,8.9,30.44,50.0,1.8666669999999999
2014-01-25,0.0,37.3,22.5,10.4,10.6,30.0,49.5,2.9666669999999997
2014-01-26,0.0,36.7,25.0,6.8,19.5,29.4,60.5,0.533333
2014-01-27,3.4,36.8,23.6,7.0,5.7,29.88,54.0,1.5
2014-01-28,0.0,36.8,23.2,9.6,9.8,30.0,47.5,3.1
2014-01-29,0.0,35.9,23.4,9.7,10.8,29.76,60.0,1.633333
2014-01-30,0.0,34.5,24.8,1.6,7.6,27.98,70.5,0.533333
2014-01-31,0.0,37.3,23.0,7.2,6.4,30.0,56.75,1.533333
2014-02-01,0.0,37.3,24.5,8.9,8.0,30.58,55.5,1.5
2014-02-02,0.0,37.2,25.0,11.1,8.2,29.66,62.5,2.8
2014-02-03,0.0,37.8,25.2,6.4,10.4,28.84,69.0,1.233333
2014-02-04,0.0,35.9,24.5,9.5,6.6,29.8,59.75,2.5333330000000003
2014-02-05,0.0,35.0,24.2,11.0,8.5,29.38,61.5,2.166667
2014-02-06,0.0,35.2,23.0,7.8,9.8,29.38,61.75,1.3
2014-02-07,0.0,37.0,24.0,10.1,10.2,29.62,61.5,1.533333
2014-02-08,0.0,35.9,24.7,9.4,15.5,29.5,62.75,1.1
2014-02-09,0.0,36.1,25.3,7.6,9.0,29.34,66.75,0.866667
2014-02-10,1.6,37.9,24.8,10.0,4.7,30.22,62.5,2.1
2014-02-11,0.0,37.4,25.0,9.1,9.8,30.32,62.75,2.733333
2014-02-12,0.0,36.9,24.6,9.1,8.3,28.04,75.5,1.3
2014-02-13,13.3,36.5,24.2,7.8,7.6,28.42,74.75,0.733333
2014-02-14,6.4,33.4,22.9,1.5,6.1,27.62,77.75,0.766667
2014-02-15,0.0,35.7,24.3,8.1,4.6,28.0,78.5,0.8
2014-02-16,1.0,33.4,24.0,1.7,4.7,27.72,80.75,0.166667
2014-02-17,6.0,30.5,23.5,0.2,4.0,26.08,82.25,0.0
2014-02-18,0.0,28.5,22.3,7.9,2.3,26.28,75.5,0.366667
2014-02-19,0.0,33.2,23.2,5.0,4.7,26.64,88.5,0.43333299999999997
2014-02-20,14.2,35.0,23.3,7.8,4.2,28.72,63.5,0.866667
2014-02-21,0.0,31.0,24.2,1.2,8.6,27.96,64.75,0.0
2014-02-22,0.0,34.8,22.9,5.5,5.5,28.5,63.25,1.166667
2014-02-23,0.0,35.6,23.2,8.0,8.1,29.06,63.5,1.333333
2014-02-24,0.0,35.0,23.4,6.7,8.9,28.44,69.5,1.666667
2014-02-25,0.0,36.7,22.8,11.3,6.8,29.84,56.0,1.4
2014-02-26,0.0,37.4,23.6,11.0,8.1,29.76,63.5,1.066667
2014-02-27,0.0,36.4,24.0,8.5,9.0,29.5,66.75,0.733333
2014-02-28,0.0,36.3,23.5,6.8,7.7,29.86,62.25,0.5
2014-03-01,0.0,37.3,24.0,9.4,8.1,29.68,64.25,0.566667
2014-03-02,0.0,37.0,25.5,9.1,8.5,30.54,58.75,0.866667
2014-03-03,0.0,37.2,24.8,10.1,8.4,30.54,57.75,0.733333
2014-03-04,0.0,37.5,24.6,9.5,9.4,30.74,56.0,1.8
2014-03-05,0.0,38.0,24.6,10.1,10.5,30.2,60.0,0.7
2014-03-06,0.0,33.2,26.5,1.9,9.1,28.5,75.75,0.8
2014-03-07,24.5,27.9,21.5,0.1,3.4,25.16,88.75,0.533333
2014-03-08,5.3,34.0,23.9,7.1,3.0,29.2,69.0,0.0
2014-03-09,0.0,35.5,23.6,10.2,6.4,29.0,75.25,1.0
2014-03-10,0.0,35.9,24.2,9.3,6.2,28.38,76.75,1.033333
2014-03-11,4.4,35.8,23.8,11.2,7.1,28.74,74.5,0.8
2014-03-12,15.2,34.0,24.0,8.1,5.7,27.52,85.25,1.133333
2014-03-13,0.0,33.6,23.0,6.1,4.4,26.6,88.5,0.333333
2014-03-14,16.5,32.6,23.0,8.4,2.3,27.46,73.25,0.6
2014-03-15,0.0,34.4,23.1,8.9,5.4,27.16,81.0,0.533333
2014-03-16,1.7,34.2,23.6,6.7,3.3,27.28,79.0,0.933333
2014-03-17,0.2,34.4,23.1,8.6,3.8,27.78,75.25,0.866667
2014-03-18,0.0,35.4,22.5,10.6,4.7,27.0,75.5,0.933333
2014-03-19,56.8,33.4,22.6,9.2,4.3,27.14,83.25,0.0
2014-03-20,0.0,34.4,22.4,9.0,3.6,28.36,74.25,0.766667
2014-03-21,0.0,34.7,23.2,9.7,4.7,29.1,64.5,1.6
2014-03-22,0.0,35.2,23.6,9.6,6.0,29.3,65.0,1.233333
2014-03-23,0.0,34.8,23.7,8.6,5.6,29.42,62.0,1.3
2014-03-24,0.0,35.1,24.0,9.8,8.4,29.12,69.0,1.033333
2014-03-25,0.0,35.2,23.4,10.3,6.5,29.46,60.25,0.1
2014-03-26,0.0,34.8,23.0,10.4,6.9,28.1,75.5,0.7
2014-03-27,0.0,35.1,24.9,10.7,5.6,29.4,67.25,0.5
2014-03-28,0.0,35.7,24.9,9.3,6.5,28.22,82.5,0.0
2014-03-29,0.0,33.8,22.8,8.3,4.6,27.56,83.75,0.8
2014-03-30,0.0,35.8,24.0,9.4,4.1,27.48,82.75,0.8
2014-03-31,28.4,34.0,22.7,10.3,4.4,28.18,77.0,0.23333299999999998
