date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,32.4,24.6,0.0,4.4,27.2,89.0,1.333333
2014-01-02,4.2,31.8,24.4,0.0,1.6,26.28,87.5,0.0
2014-01-03,0.0,34.6,22.6,0.0,2.8,27.76,83.0,1.333333
2014-01-04,0.0,34.6,23.2,0.0,5.1,27.44,84.5,0.666667
2014-01-05,0.0,34.2,23.2,0.0,4.5,28.12,88.25,1.0
2014-01-06,1.0,34.0,23.4,0.0,4.0,27.28,88.5,1.666667
2014-01-07,0.0,33.4,24.0,0.0,3.0,26.88,89.0,1.666667
2014-01-08,0.0,32.8,23.4,0.0,4.2,27.64,84.75,0.666667
2014-01-09,0.0,33.2,23.0,0.0,4.2,27.36,83.5,1.333333
2014-01-10,0.0,33.0,23.6,0.0,4.5,27.44,81.25,1.333333
2014-01-11,0.0,33.6,22.4,0.0,5.5,26.76,84.0,1.666667
2014-01-12,0.0,33.4,23.0,0.0,4.4,27.16,83.25,0.666667
2014-01-13,0.0,33.8,23.2,0.0,4.6,27.32,83.75,0.666667
2014-01-14,0.0,35.2,23.0,0.0,3.0,27.76,91.5,0.666667
2014-01-15,0.0,31.2,23.8,0.0,3.8,26.96,96.75,0.0
2014-01-16,0.0,33.8,24.2,0.0,4.2,27.76,89.25,0.0
2014-01-17,0.0,35.0,23.8,0.0,3.2,28.52,86.75,0.666667
2014-01-18,0.0,30.8,25.2,0.0,4.2,27.44,91.5,1.0
2014-01-19,2.0,33.6,23.6,0.0,2.1,27.84,76.25,1.333333
2014-01-20,0.0,34.8,22.6,0.0,5.4,27.92,75.0,1.666667
2014-01-21,0.0,34.4,21.6,0.0,3.5,27.6,82.0,1.666667
2014-01-22,0.0,35.8,21.4,0.0,3.6,28.68,73.75,1.666667
2014-01-23,0.0,34.6,22.4,0.0,3.4,29.08,80.75,1.333333
2014-01-24,0.0,35.4,24.6,0.0,3.6,28.88,85.0,1.666667
2014-01-25,0.0,36.2,22.0,0.0,4.5,28.28,81.5,1.666667
2014-01-26,0.0,35.0,22.6,0.0,5.2,28.6,80.75,1.333333
2014-01-27,0.0,34.6,23.8,0.0,4.1,28.8,80.25,1.333333
2014-01-28,0.0,34.8,22.2,0.0,3.8,28.28,83.75,1.666667
2014-01-29,0.0,34.8,23.8,0.0,3.4,28.52,83.5,1.333333
2014-01-30,0.0,35.0,22.6,0.0,2.8,28.32,77.25,1.666667
2014-01-31,0.0,34.2,24.0,0.0,6.5,28.6,83.0,1.333333
2014-02-01,5.0,32.0,24.6,0.0,5.5,26.8,90.25,0.666667
2014-02-02,0.0,34.4,24.0,0.0,2.5,28.44,81.75,1.333333
2014-02-03,0.0,34.6,23.8,0.0,6.0,28.2,78.0,1.666667
2014-02-04,0.0,35.6,24.4,0.0,7.0,29.28,78.5,1.666667
2014-02-05,0.0,34.4,22.8,0.0,2.5,28.24,81.5,1.333333
2014-02-06,1.2,33.6,23.4,0.0,3.0,27.0,94.0,0.666667
2014-02-07,0.0,30.4,24.2,0.0,4.0,25.92,92.5,0.666667
2014-02-08,1.0,33.0,23.8,0.0,1.5,28.24,90.5,0.666667
2014-02-09,0.0,35.0,23.8,0.0,4.0,28.0,86.5,1.666667
2014-02-10,3.2,32.6,24.0,0.0,3.8,27.28,92.5,0.0
2014-02-11,3.4,32.0,23.8,0.0,2.2,26.2,92.0,0.666667
2014-02-12,4.0,33.0,23.2,0.0,2.0,27.92,87.75,0.666667
2014-02-13,0.0,34.2,23.2,0.0,4.5,27.92,80.25,1.0
2014-02-14,0.0,34.4,22.8,0.0,1.6,27.84,83.25,1.333333
2014-02-15,0.0,33.8,22.2,0.0,5.0,27.2,86.25,1.333333
2014-02-16,0.0,34.8,22.8,0.0,4.6,28.76,78.5,1.666667
2014-02-17,0.0,34.0,24.0,0.0,6.3,28.0,82.5,1.333333
2014-02-18,0.0,35.4,22.6,0.0,5.0,28.64,74.0,0.666667
2014-02-19,0.0,35.6,22.0,0.0,7.0,28.16,75.5,1.333333
2014-02-20,0.0,35.6,22.4,0.0,7.0,28.64,71.75,0.666667
2014-02-21,0.0,33.4,24.4,0.0,7.0,28.56,83.5,0.0
2014-02-22,0.0,33.8,24.8,0.0,4.0,28.92,84.0,1.333333
2014-02-23,0.0,33.8,25.0,0.0,5.5,28.24,83.0,1.333333
2014-02-24,0.0,34.4,24.6,0.0,4.3,28.52,81.0,1.333333
2014-02-25,0.0,31.6,25.4,0.0,2.0,27.36,90.25,0.666667
2014-02-26,0.0,32.6,24.8,0.0,3.4,26.8,90.5,1.333333
2014-02-27,0.0,33.0,23.4,0.0,2.8,26.56,90.5,0.666667
2014-02-28,0.0,34.2,23.6,0.0,3.0,28.6,83.0,1.333333
2014-03-01,0.0,35.6,23.6,0.0,3.0,29.04,81.25,1.666667
2014-03-02,0.0,33.4,24.8,0.0,7.0,27.8,83.25,1.333333
2014-03-03,0.0,34.4,22.8,0.0,4.5,28.48,81.0,0.166667
2014-03-04,0.0,34.8,24.2,0.0,4.0,29.2,85.5,1.0
2014-03-05,0.0,34.8,25.2,0.0,6.8,29.4,80.5,1.333333
2014-03-06,0.0,34.8,23.6,0.0,6.4,28.56,88.75,1.666667
2014-03-07,0.0,36.0,23.8,0.0,5.8,29.36,84.0,0.666667
2014-03-08,0.0,36.8,23.2,0.0,7.6,29.2,82.0,1.333333
2014-03-09,0.0,35.8,19.9,0.0,3.4,28.74,83.25,0.666667
2014-03-10,0.0,37.0,25.0,0.0,7.5,30.36,70.25,0.0
2014-03-11,0.0,37.0,24.8,0.0,6.5,30.4,85.0,0.666667
2014-03-12,0.0,36.4,25.0,0.0,7.0,29.76,88.25,0.666667
2014-03-13,0.0,36.8,24.4,0.0,6.2,30.6,88.75,1.333333
2014-03-14,0.0,37.4,24.2,0.0,3.0,30.44,85.0,1.333333
2014-03-15,0.0,34.4,24.6,0.0,7.0,28.6,94.25,0.666667
2014-03-16,11.4,35.6,24.8,0.0,2.7,28.44,97.0,0.0
2014-03-17,1.0,34.0,24.6,0.0,3.8,29.12,93.75,0.666667
2014-03-18,0.0,34.4,24.2,0.0,5.0,29.4,89.0,1.333333
2014-03-19,0.0,31.4,24.2,0.0,6.0,27.52,96.25,0.666667
2014-03-20,3.0,34.0,25.2,0.0,3.5,29.0,90.0,1.333333
2014-03-21,0.0,31.8,24.4,0.0,2.0,27.88,91.0,0.666667
2014-03-22,0.0,32.4,24.8,0.0,5.0,27.96,92.0,1.666667
2014-03-23,1.0,33.8,23.8,0.0,3.8,28.4,91.5,1.0
2014-03-24,10.4,29.6,23.4,0.0,4.5,25.08,97.5,0.0
2014-03-25,6.2,31.6,23.2,0.0,0.4,25.8,95.5,0.0
2014-03-26,13.4,33.0,22.8,0.0,1.7,27.88,95.0,0.0
2014-03-27,0.0,33.6,23.8,0.0,3.2,28.72,90.25,0.666667
2014-03-28,0.0,34.0,22.8,0.0,3.7,27.88,93.0,0.666667
2014-03-29,0.0,35.0,22.2,0.0,4.3,28.48,91.75,1.333333
2014-03-30,0.0,35.2,23.4,0.0,2.0,28.48,89.0,1.666667
2014-03-31,0.0,32.6,24.8,0.0,5.8,27.2,94.75,0.0
2014-04-01,76.4,29.6,23.8,0.0,5.8,25.76,95.5,0.0
2014-04-02,7.0,33.0,23.8,0.0,5.8,26.8,94.5,0.0
2014-04-03,0.0,34.0,23.4,0.0,5.8,28.08,94.5,0.68592
2014-04-04,0.0,35.0,22.6,0.0,5.8,29.24,91.0,0.0
2014-04-05,0.0,35.8,23.8,0.0,5.8,30.0,90.5,0.68592
2014-04-06,1.0,34.2,25.4,0.0,5.8,29.12,95.0,0.0
2014-04-07,1.0,32.4,24.6,0.0,5.8,28.08,93.75,0.68592
2014-04-08,0.0,34.4,24.6,0.0,5.8,28.64,93.75,0.68592
2014-04-09,0.0,34.0,23.6,0.0,5.8,28.08,93.0,0.0
2014-04-10,0.0,34.2,23.0,0.0,5.8,28.16,89.25,0.68592
2014-04-11,0.0,34.2,22.2,0.0,5.8,28.16,91.5,0.0
2014-04-12,0.0,36.0,22.6,0.0,5.8,28.9,90.75,0.68592
2014-04-13,0.0,35.2,24.0,0.0,5.8,28.88,93.5,0.0
2014-04-14,0.0,30.4,23.6,0.0,5.8,26.52,94.0,0.0
2014-04-15,10.4,32.8,24.2,0.0,5.8,26.68,95.0,0.0
2014-04-16,4.0,29.4,24.4,0.0,5.8,25.32,97.0,1.02888
2014-04-17,73.0,32.4,22.4,0.0,5.8,26.28,94.0,0.0
2014-04-18,0.0,34.2,24.4,0.0,5.8,28.48,93.25,0.0
2014-04-19,0.0,34.2,25.2,0.0,5.8,28.96,93.75,1.37184
2014-04-20,0.0,31.2,25.2,0.0,5.8,27.88,95.5,0.68592
2014-04-21,3.0,29.4,24.0,0.0,5.8,25.52,92.5,0.0
2014-04-22,16.4,31.6,22.6,0.0,5.8,26.0,95.25,0.0
2014-04-23,9.0,27.2,24.6,0.0,5.8,25.16,97.5,0.0
2014-04-24,32.7,28.6,22.8,0.0,5.8,25.52,96.0,0.0
2014-04-25,22.8,30.6,23.8,0.0,5.8,26.4,95.5,0.0
