date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,36.7,27.4,18.2,2.9,0.6,21.52,91.0,2.266667
2014-01-02,14.3,26.6,19.0,1.3,1.2,21.84,93.0,7.8333330000000005
2014-01-03,34.4,21.2,14.6,0.0,1.8,16.84,92.5,3.3666669999999996
2014-01-04,24.6,19.6,13.4,5.0,0.4,15.6,86.75,4.066667
2014-01-05,0.0,26.6,12.4,10.8,1.6,18.72,79.0,3.8
2014-01-06,0.0,29.0,14.8,10.0,2.4,21.0,70.25,2.6
2014-01-07,0.0,28.0,16.8,10.7,3.8,20.96,72.25,3.6
2014-01-08,0.0,26.6,16.6,5.6,1.6,21.0,82.75,5.1
2014-01-09,4.2,27.8,16.4,9.9,2.0,21.32,79.25,2.9
2014-01-10,4.5,28.8,17.0,7.7,2.5,20.52,82.5,4.633333
2014-01-11,23.0,23.8,15.8,1.1,3.0,19.28,91.25,2.833333
2014-01-12,32.6,20.0,17.0,0.0,0.5,18.12,97.25,2.933333
2014-01-13,8.9,25.0,16.6,1.4,0.8,20.28,80.5,3.166667
2014-01-14,0.6,25.2,16.2,6.2,1.8,20.16,78.75,4.3
2014-01-15,0.0,22.6,16.0,3.4,1.8,18.88,88.0,2.8666669999999996
2014-01-16,21.8,26.0,14.4,9.7,1.1,19.08,79.25,2.9666669999999997
2014-01-17,0.0,27.8,15.4,10.5,2.0,20.12,72.0,2.766667
2014-01-18,0.0,30.0,15.0,12.1,3.5,21.8,56.75,3.233333
2014-01-19,0.0,29.8,15.6,12.0,4.5,22.4,59.75,3.4666669999999997
2014-01-20,0.0,30.0,16.4,11.0,4.5,22.4,56.25,3.1
2014-01-21,0.0,29.4,16.4,11.7,2.0,22.32,63.0,4.6666669999999995
2014-01-22,0.0,30.6,18.2,9.5,5.5,23.68,68.75,3.5333330000000003
2014-01-23,0.0,31.0,20.0,9.3,5.1,24.08,73.0,3.833333
2014-01-24,7.4,28.8,19.2,8.6,4.0,23.64,78.0,5.566667
2014-01-25,1.3,23.4,15.2,0.0,3.0,17.4,93.5,4.7
2014-01-26,1.2,27.0,15.0,7.7,1.2,20.36,78.75,4.3
2014-01-27,0.0,28.6,18.0,7.9,2.7,22.04,80.75,6.9
2014-01-28,7.0,30.6,18.8,11.5,2.5,24.44,62.25,3.6
2014-01-29,0.0,31.6,18.6,10.4,5.0,24.44,64.5,5.066667
2014-01-30,0.0,31.6,17.6,10.8,1.0,23.4,53.75,4.3
2014-01-31,7.2,30.2,17.2,7.3,5.0,21.76,72.5,4.8
2014-02-01,3.1,29.0,17.2,5.2,3.5,21.64,87.5,3.9666669999999997
2014-02-02,17.7,31.0,17.2,11.5,2.5,24.12,60.75,2.8
2014-02-03,0.0,31.4,18.6,9.1,6.0,24.4,63.75,3.4666669999999997
2014-02-04,1.9,30.6,18.6,10.7,3.8,23.48,64.25,3.8666669999999996
2014-02-05,0.0,32.0,19.2,9.4,4.8,24.36,63.25,2.833333
2014-02-06,0.0,33.4,19.8,10.5,4.0,25.48,60.75,2.933333
2014-02-07,3.7,32.6,20.0,11.4,1.4,26.52,55.75,4.133333
2014-02-08,0.0,31.8,18.8,4.9,5.4,22.8,79.5,3.6333330000000004
2014-02-09,0.8,29.8,18.2,7.9,2.6,23.92,64.75,2.9
