date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,7.0,28.8,21.6,2.9,2.1,23.44,85.0,1.666667
2014-01-02,13.4,26.6,21.4,0.9,2.7,23.6,84.0,3.666667
2014-01-03,14.8,23.0,14.4,0.0,3.0,17.0,97.0,1.666667
2014-01-04,14.2,23.8,14.0,10.4,0.5,18.68,75.25,1.333333
2014-01-05,0.0,27.2,15.8,11.0,3.6,21.44,57.25,2.333333
2014-01-06,0.0,30.0,17.4,11.2,4.5,23.48,68.25,2.333333
2014-01-07,0.0,31.4,20.2,10.7,6.9,25.56,59.75,3.666667
2014-01-08,1.3,27.0,20.0,1.8,7.5,22.56,77.5,2.0
2014-01-09,0.0,29.4,18.4,8.5,3.3,23.48,75.25,1.0
2014-01-10,1.4,30.8,18.6,5.4,5.0,22.32,78.25,2.0
2014-01-11,21.8,26.4,18.0,4.0,4.4,20.92,89.0,1.666667
2014-01-12,20.5,19.2,17.6,0.0,1.4,18.44,95.0,1.0
2014-01-13,3.9,24.8,17.6,3.3,0.4,20.76,90.75,1.333333
2014-01-14,0.0,24.6,18.6,4.1,1.9,21.04,76.75,1.666667
2014-01-15,1.0,25.8,17.8,5.5,3.4,20.84,83.5,0.666667
2014-01-16,0.0,26.6,17.8,9.8,2.7,21.84,76.75,1.333333
2014-01-17,0.0,29.4,18.2,10.2,4.3,23.56,65.5,2.333333
2014-01-18,0.0,29.6,19.8,6.3,6.5,23.96,72.25,1.666667
2014-01-19,6.8,31.0,19.2,11.5,7.4,25.2,54.75,1.333333
2014-01-20,0.0,32.8,21.6,10.8,8.7,26.36,51.25,1.666667
2014-01-21,0.0,32.4,21.0,11.7,11.3,26.72,50.75,2.0
2014-01-22,0.0,32.6,22.0,7.5,2.6,26.72,62.75,1.0
2014-01-23,14.0,32.8,23.4,9.1,7.7,27.92,61.25,2.666667
2014-01-24,0.0,31.6,21.8,10.2,7.3,24.6,81.5,4.3333330000000005
2014-01-25,20.0,21.8,15.2,0.0,5.7,16.72,98.0,3.0
2014-01-26,7.2,27.4,15.2,5.7,0.5,20.76,91.0,1.666667
2014-01-27,14.5,31.9,20.0,8.6,2.3,25.22,67.0,3.0
2014-01-28,0.0,33.6,22.8,10.4,6.5,26.56,59.25,2.0
2014-01-29,1.3,33.4,23.6,11.3,8.4,27.56,61.0,3.0
2014-01-30,0.0,33.0,21.8,9.7,8.3,24.8,67.5,1.666667
2014-01-31,0.0,31.6,20.2,6.8,8.2,23.44,70.0,3.0
2014-02-01,10.5,31.6,20.0,6.9,5.1,23.88,77.25,2.333333
2014-02-02,12.0,33.8,18.4,10.3,5.0,26.84,59.25,1.333333
2014-02-03,0.0,33.0,23.0,8.5,7.3,26.12,57.75,3.666667
2014-02-04,3.0,33.2,20.4,7.9,8.8,26.04,66.75,2.333333
2014-02-05,0.0,34.4,24.2,9.1,8.7,28.84,53.75,1.666667
2014-02-06,0.0,35.2,23.8,6.1,9.6,28.72,57.25,1.666667
2014-02-07,0.0,35.4,25.0,7.8,8.8,29.88,51.25,1.666667
2014-02-08,0.0,33.6,20.6,4.4,11.3,24.88,69.5,2.333333
2014-02-09,23.4,34.0,20.0,7.3,8.3,26.08,64.0,4.3333330000000005
2014-02-10,0.0,33.6,20.2,5.2,8.2,24.52,76.75,1.0
2014-02-11,7.6,34.0,19.8,7.0,5.7,26.88,56.0,1.0
2014-02-12,0.0,34.0,19.8,9.8,7.5,23.84,73.75,3.0
2014-02-13,0.4,26.2,17.6,3.1,5.7,19.96,90.25,2.333333
2014-02-14,22.0,18.8,14.8,0.3,1.5,15.96,91.5,3.0
2014-02-15,2.2,22.0,13.8,9.8,2.1,17.24,71.0,3.0
2014-02-16,0.0,24.4,14.6,10.3,5.2,18.48,72.0,1.666667
2014-02-17,0.0,27.4,14.6,11.2,4.9,20.0,72.25,3.0
2014-02-18,0.0,29.0,16.6,11.4,6.0,21.64,66.75,3.0
2014-02-19,0.0,28.6,16.8,10.8,4.6,22.8,57.75,2.333333
2014-02-20,0.0,26.4,16.4,2.1,6.5,21.04,75.75,2.0
2014-02-21,1.0,29.2,20.4,6.3,3.5,22.92,80.5,1.666667
2014-02-22,3.0,28.6,19.0,4.6,3.4,21.6,85.5,1.0
2014-02-23,71.6,26.6,18.0,4.0,2.8,20.92,88.75,3.666667
2014-02-24,38.8,29.0,17.4,10.0,2.7,22.16,80.0,1.333333
