date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.7,30.0,21.6,5.1,3.0,24.72,95.0,2.0
2014-01-02,0.0,26.5,21.8,0.5,2.0,23.26,98.0,2.0
2014-01-03,47.2,22.0,18.8,0.0,0.6,19.8,98.25,2.0
2014-01-04,8.4,26.5,15.2,12.2,0.7,20.82,89.0,2.333333
2014-01-05,0.0,30.0,16.0,12.3,4.8,23.44,83.0,2.333333
2014-01-06,0.0,33.0,18.0,12.4,5.7,26.12,86.25,1.666667
2014-01-07,0.0,32.5,19.8,12.5,5.3,26.14,87.0,2.0
2014-01-08,4.2,28.5,18.0,2.8,4.9,23.02,92.75,2.0
2014-01-09,0.0,31.5,20.0,11.4,2.8,25.38,91.75,1.666667
2014-01-10,0.0,32.0,19.2,9.2,3.5,23.32,92.25,2.0
2014-01-11,52.7,24.0,19.2,0.0,3.5,21.12,97.25,1.666667
2014-01-12,18.7,26.0,18.4,6.4,0.2,21.08,95.0,2.666667
2014-01-13,3.6,29.5,18.0,8.0,2.3,22.86,94.25,1.666667
2014-01-14,0.0,28.0,19.2,7.5,2.8,22.48,94.75,1.333333
2014-01-15,4.4,29.0,18.6,7.3,2.7,22.8,95.5,1.333333
2014-01-16,0.8,30.5,17.8,12.3,2.0,24.18,90.75,1.666667
2014-01-17,0.0,32.5,20.6,12.4,3.2,26.42,85.25,1.666667
2014-01-18,0.0,34.0,21.2,12.2,4.5,26.96,87.5,1.0
2014-01-19,0.0,34.0,21.0,12.4,5.3,27.52,85.75,1.0
2014-01-20,0.0,34.5,21.8,12.4,5.5,28.1,83.75,1.666667
2014-01-21,0.0,34.0,21.8,12.3,5.9,27.76,85.25,2.0
2014-01-22,0.0,34.5,23.0,10.0,3.6,28.38,86.25,1.333333
2014-01-23,0.0,34.5,23.6,12.0,5.2,28.78,87.25,1.333333
2014-01-24,0.0,33.5,22.0,11.3,5.8,25.86,88.75,2.666667
2014-01-25,5.9,23.5,16.4,0.1,4.5,18.5,93.5,4.0
2014-01-26,0.0,29.0,17.4,3.6,2.0,21.96,97.0,1.333333
2014-01-27,54.4,32.0,19.8,11.0,1.5,26.08,89.75,1.666667
2014-01-28,0.0,34.0,22.2,12.1,4.2,28.08,87.5,2.0
2014-01-29,0.0,33.5,22.2,11.9,5.0,27.22,86.25,2.333333
2014-01-30,0.0,34.0,22.8,9.8,5.4,26.24,85.75,1.666667
2014-01-31,0.0,32.5,20.4,11.4,5.6,24.22,91.5,1.666667
2014-02-01,5.6,34.0,20.8,11.0,4.4,26.32,88.25,2.666667
2014-02-02,0.6,32.5,20.6,9.5,4.8,27.1,88.0,2.0
2014-02-03,0.0,35.5,22.8,11.8,4.8,28.74,84.25,1.666667
2014-02-04,0.0,35.5,22.0,10.4,6.4,27.98,85.75,1.333333
2014-02-05,0.0,36.0,23.4,11.7,7.1,28.8,86.0,1.0
2014-02-06,0.0,36.5,22.8,10.7,6.0,28.58,82.5,2.0
2014-02-07,0.0,36.5,24.2,10.6,6.8,29.46,84.25,2.0
2014-02-08,0.0,36.5,23.2,8.7,6.6,28.78,83.0,3.0
2014-02-09,0.0,37.5,21.6,11.2,7.4,28.38,79.5,2.666667
2014-02-10,0.0,36.5,22.4,10.3,7.5,27.54,85.0,2.666667
2014-02-11,0.0,37.0,22.0,11.0,6.5,29.12,82.25,2.0
2014-02-12,0.0,35.5,20.8,8.4,7.5,24.9,88.5,2.333333
2014-02-13,22.8,26.0,18.2,1.5,3.9,20.8,95.5,2.666667
2014-02-14,16.5,21.5,16.4,0.5,1.3,18.5,95.0,4.6666669999999995
2014-02-15,11.0,26.5,14.0,11.5,3.0,19.74,87.0,4.3333330000000005
2014-02-16,0.0,28.0,14.4,11.6,5.9,20.96,87.75,3.333333
2014-02-17,0.0,30.0,14.8,11.2,5.9,22.44,86.75,3.0
2014-02-18,0.0,31.5,17.8,11.5,6.6,24.46,85.75,2.333333
2014-02-19,0.0,30.0,17.4,9.7,6.0,23.36,87.25,2.333333
2014-02-20,11.2,24.5,20.2,0.2,4.6,21.34,99.0,1.333333
2014-02-21,13.3,31.0,18.2,9.3,0.6,23.44,93.75,1.333333
2014-02-22,0.0,31.5,19.6,8.0,1.8,23.5,89.75,1.333333
2014-02-23,0.0,29.0,19.2,6.0,3.9,23.64,96.25,1.333333
2014-02-24,0.0,30.0,20.0,7.3,2.5,24.36,91.0,1.666667
