date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,19.1,27.2,24.0,0.0,1.3,24.96,91.75,1.3
2014-01-02,25.4,27.6,23.0,0.0,1.5,24.64,90.75,1.133333
2014-01-03,41.7,27.0,21.0,0.0,1.6,22.36,94.5,1.566667
2014-01-04,34.0,30.2,19.4,6.8,1.8,22.6,75.75,0.266667
2014-01-05,0.0,32.2,19.4,10.5,3.2,25.72,62.5,0.766667
2014-01-06,0.0,36.8,21.0,11.0,3.6,26.56,59.0,0.366667
2014-01-07,0.0,33.6,21.0,4.1,3.8,26.88,67.25,1.066667
2014-01-08,0.0,32.2,21.8,5.9,3.6,24.72,76.75,1.533333
2014-01-09,0.0,35.0,20.4,10.4,3.4,26.96,74.25,0.533333
2014-01-10,0.0,34.6,22.8,9.4,3.6,26.6,64.75,2.666667
2014-01-11,3.8,32.6,21.0,0.3,2.9,24.76,84.0,2.4666669999999997
2014-01-12,6.0,27.0,21.0,1.4,1.3,23.04,90.25,1.066667
2014-01-13,5.1,30.2,20.2,2.7,0.8,24.6,79.5,1.0
2014-01-14,0.0,30.2,19.0,7.2,1.9,24.44,76.5,2.2
2014-01-15,8.0,28.2,19.4,3.5,2.5,23.0,87.75,1.7
2014-01-16,3.2,31.2,19.2,8.8,1.1,25.08,73.0,0.266667
2014-01-17,0.0,34.2,20.0,11.5,2.6,26.08,73.25,1.5
2014-01-18,0.0,35.2,20.2,12.1,1.1,27.44,63.25,1.233333
2014-01-19,0.0,35.0,21.2,10.9,3.6,27.76,60.25,1.333333
2014-01-20,0.0,36.2,21.0,9.9,3.4,28.04,65.0,1.433333
2014-01-21,0.0,36.0,21.0,10.9,3.8,28.24,60.5,1.133333
2014-01-22,0.0,36.8,21.8,10.1,4.6,29.16,63.25,1.666667
2014-01-23,0.0,35.8,23.2,11.4,5.6,29.84,58.5,2.666667
2014-01-24,0.0,36.2,23.4,8.1,5.0,29.68,62.5,1.633333
2014-01-25,5.8,30.0,22.8,0.0,4.0,24.68,86.5,1.1
