date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,5.5,27.4,19.9,1.8,1.1,22.56,95.0,0.0
2014-01-02,9.5,26.5,20.0,0.8,1.1,22.6,89.25,0.0
2014-01-03,67.1,22.5,16.3,0.1,1.5,18.38,95.5,0.0
2014-01-04,25.1,24.7,14.4,4.2,0.7,18.56,80.75,0.0
2014-01-05,0.0,29.2,14.4,9.1,2.9,21.82,59.0,0.0
2014-01-06,0.0,29.7,16.9,8.8,5.1,22.7,71.5,0.0
2014-01-07,0.0,30.0,17.6,11.6,4.6,22.62,70.0,0.0
2014-01-08,0.0,27.5,16.9,3.0,4.7,21.42,89.5,0.0
2014-01-09,4.0,29.2,17.9,10.3,1.5,22.08,78.75,0.0
2014-01-10,3.0,30.0,17.7,9.2,3.1,21.4,82.0,0.0
2014-01-11,14.9,28.3,15.6,3.5,3.4,20.56,87.75,0.0
2014-01-12,30.0,21.5,17.9,0.1,1.5,19.08,93.25,0.0
2014-01-13,3.5,26.1,16.6,4.7,1.0,21.14,83.25,0.0
2014-01-14,0.0,27.0,17.3,7.5,2.3,20.8,72.25,0.0
2014-01-15,0.1,22.4,17.3,1.5,3.2,19.24,88.5,0.0
2014-01-16,2.4,27.5,15.6,5.9,0.7,21.16,76.0,0.0
2014-01-17,0.0,30.2,15.8,8.3,3.3,22.42,70.5,0.0
2014-01-18,0.0,29.8,18.4,9.7,4.3,23.14,66.0,0.0
2014-01-19,0.0,30.8,16.4,10.1,5.0,24.1,58.25,0.0
2014-01-20,0.0,31.2,19.0,10.6,6.2,25.34,51.5,0.0
2014-01-21,0.0,31.5,17.9,11.6,6.8,24.58,57.5,0.0
2014-01-22,0.0,32.7,19.8,8.7,6.8,25.24,69.0,0.0
2014-01-23,0.0,32.5,21.0,11.0,5.8,24.92,71.75,0.0
2014-01-24,0.0,29.0,20.1,7.5,4.9,24.42,84.25,0.0
2014-01-25,9.1,24.5,18.0,1.2,2.0,19.54,85.75,0.0
2014-01-26,1.0,28.7,16.4,8.0,2.3,21.8,79.75,0.0
2014-01-27,2.0,31.4,18.1,9.9,3.5,25.04,63.5,0.0
2014-01-28,1.0,31.7,19.4,11.3,4.7,25.28,61.5,0.0
2014-01-29,0.0,33.0,19.6,11.0,5.8,25.74,60.25,0.0
2014-01-30,1.0,31.7,17.9,11.3,6.1,24.26,68.75,0.0
2014-01-31,0.0,31.5,18.9,5.4,5.7,22.98,74.5,0.0
