date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,4.4,29.2,21.6,2.2,4.5,23.94,91.5,3.2
2014-01-02,3.3,26.1,20.8,0.1,1.6,23.02,91.25,6.1
2014-01-03,81.2,22.3,16.7,0.0,1.8,18.42,93.25,3.566667
2014-01-04,10.8,26.1,15.3,9.4,0.9,20.4,75.5,3.6333330000000004
2014-01-05,0.0,30.6,15.1,12.9,3.8,22.72,58.75,2.733333
2014-01-06,0.0,31.5,18.3,10.5,6.0,23.88,69.0,3.233333
2014-01-07,0.0,30.8,17.5,12.8,5.2,23.46,66.5,4.6
2014-01-08,1.5,28.3,20.0,1.2,8.1,22.52,82.25,2.5333330000000003
2014-01-09,1.0,30.2,18.6,12.3,3.1,23.94,75.0,2.566667
2014-01-10,0.0,31.5,18.8,9.4,6.0,22.74,75.25,5.4
2014-01-11,18.8,26.7,17.2,1.3,5.4,21.64,87.25,3.933333
2014-01-12,4.6,21.8,18.9,0.0,1.7,20.4,88.25,3.733333
2014-01-13,34.8,27.3,17.7,7.7,1.7,22.04,78.75,2.433333
2014-01-14,0.0,26.8,17.7,6.7,4.5,20.8,79.25,4.066667
2014-01-15,12.2,25.7,17.2,4.5,3.9,19.76,91.75,2.933333
2014-01-16,0.0,28.7,16.1,8.1,2.0,22.3,74.75,2.733333
2014-01-17,0.0,30.6,17.7,11.1,4.2,23.78,67.25,2.666667
2014-01-18,0.0,30.5,19.0,11.2,5.1,24.02,72.75,3.5333330000000003
2014-01-19,3.7,30.6,18.2,10.6,5.0,24.4,63.5,2.3
2014-01-20,0.0,31.8,19.3,12.5,6.7,25.84,55.75,2.6333330000000004
2014-01-21,0.0,32.2,18.1,12.5,8.1,25.58,56.25,3.833333
2014-01-22,0.0,33.0,20.4,9.0,9.2,26.34,66.0,2.733333
2014-01-23,0.0,33.1,21.2,10.2,7.5,26.66,68.0,3.4666669999999997
2014-01-24,0.0,31.8,20.7,9.7,8.3,25.56,73.0,4.966667
2014-01-25,2.2,24.3,17.0,0.0,6.2,18.78,87.25,6.2
2014-01-26,0.2,29.9,16.8,8.8,2.3,21.2,83.25,4.033333
2014-01-27,15.0,31.0,18.5,11.2,3.5,25.06,68.5,2.666667
2014-01-28,0.0,32.0,20.8,10.9,5.7,25.92,67.25,3.066667
2014-01-29,0.0,32.4,20.5,11.0,7.8,25.5,64.75,1.9333330000000002
2014-01-30,0.0,32.1,19.9,9.9,6.9,24.8,60.25,3.0
2014-01-31,0.0,32.4,19.2,5.6,7.3,22.8,75.5,3.3
2014-02-01,7.0,32.7,18.9,10.1,5.0,24.14,71.75,3.3
2014-02-02,1.0,33.0,20.1,12.1,7.0,26.26,60.25,4.8333330000000005
2014-02-03,0.0,33.5,21.8,11.3,10.8,24.94,71.25,3.666667
2014-02-04,2.8,34.0,19.5,12.4,7.0,26.26,52.75,2.666667
2014-02-05,0.0,34.5,20.5,12.2,10.4,27.44,52.25,3.166667
2014-02-06,0.0,34.5,21.3,5.9,9.3,26.4,65.25,2.333333
2014-02-07,0.0,34.8,19.5,10.6,6.8,24.4,69.0,4.133333
2014-02-08,21.0,33.9,19.9,8.9,8.6,24.04,73.75,3.7
2014-02-09,2.2,34.5,18.8,11.4,5.9,25.46,65.25,1.333333
2014-02-10,5.2,34.3,20.2,11.4,6.7,25.94,60.0,3.8666669999999996
2014-02-11,0.0,34.5,20.6,11.8,8.2,26.94,54.75,2.833333
2014-02-12,0.0,34.0,19.7,10.1,9.0,23.9,74.25,3.5333330000000003
