date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,4.4,31.4,22.4,10.5,2.5,26.58,81.25,4.033333
2014-01-02,0.0,35.2,21.9,9.0,3.4,25.94,82.25,3.166667
2014-01-03,11.2,24.9,19.6,5.7,4.0,21.22,73.0,2.3
2014-01-04,0.0,27.1,14.6,12.7,4.1,21.42,65.0,3.2
2014-01-05,0.0,31.8,17.0,13.0,5.8,24.32,65.5,1.666667
2014-01-06,0.0,31.6,18.6,13.2,6.0,25.2,70.5,4.4
2014-01-07,0.0,36.8,21.4,9.1,5.6,25.72,77.0,3.7
2014-01-08,50.4,29.4,20.2,9.1,4.5,23.52,82.25,2.566667
2014-01-09,0.0,29.4,18.6,12.8,2.5,24.46,80.5,3.2
2014-01-10,0.0,25.2,20.6,0.5,3.8,22.08,89.75,4.533333
2014-01-11,9.4,24.8,18.6,2.0,0.8,21.96,89.75,1.9666669999999997
2014-01-12,16.8,25.0,20.4,4.4,1.6,22.0,80.75,4.233333
2014-01-13,7.0,25.6,20.3,2.5,3.7,22.5,93.25,4.566667
2014-01-14,27.2,27.0,21.3,3.9,1.3,22.82,89.25,2.8666669999999996
2014-01-15,1.9,29.5,19.6,10.0,0.4,23.68,83.75,2.4
2014-01-16,0.3,31.3,19.0,12.8,2.7,24.6,72.5,1.8
2014-01-17,0.0,31.6,19.7,13.1,5.0,25.34,78.5,2.233333
2014-01-18,0.0,34.2,21.1,12.6,4.0,27.18,75.0,2.1333330000000004
2014-01-19,0.0,36.4,22.6,12.3,5.4,29.64,71.25,1.366667
2014-01-20,0.0,33.0,24.0,7.3,4.8,27.36,85.25,1.7666669999999998
2014-01-21,2.6,37.1,21.5,10.6,2.8,27.12,72.75,1.8666669999999999
2014-01-22,9.6,29.2,21.8,2.3,5.3,25.76,87.5,1.8
2014-01-23,0.0,36.2,23.6,7.1,1.8,29.78,73.0,2.8
2014-01-24,0.0,33.2,22.8,4.1,4.4,26.66,83.5,3.9
2014-01-25,1.6,24.6,17.0,7.3,3.5,20.8,60.25,3.3
2014-01-26,0.0,23.2,20.0,0.0,6.6,22.0,89.5,3.233333
2014-01-27,4.8,31.2,22.2,4.9,0.8,25.24,80.5,1.7
2014-01-28,10.4,35.6,22.4,12.3,1.8,27.26,74.5,2.266667
2014-01-29,5.2,30.6,22.2,3.1,4.0,24.5,90.0,2.3
2014-01-30,19.8,36.0,21.2,9.0,1.1,26.24,80.25,4.966667
2014-01-31,0.0,27.0,22.0,0.4,3.2,24.36,85.0,2.7
2014-02-01,2.6,28.8,22.2,3.5,2.1,25.0,84.5,1.9666669999999997
2014-02-02,5.6,36.0,21.0,9.8,2.1,25.16,83.75,3.9
2014-02-03,6.4,33.4,21.0,9.7,4.5,25.84,84.75,2.6333330000000004
2014-02-04,22.4,30.8,22.0,9.6,2.2,26.22,79.25,2.333333
2014-02-05,0.0,37.4,24.0,12.8,2.9,30.22,69.0,2.233333
2014-02-06,0.0,32.2,25.4,6.8,6.1,27.76,85.5,2.566667
2014-02-07,0.4,38.0,23.6,11.9,1.7,28.52,70.5,3.1
2014-02-08,0.0,34.0,23.4,8.9,5.5,27.4,77.5,3.8666669999999996
2014-02-09,17.8,31.5,23.2,10.4,3.7,27.06,83.25,2.333333
2014-02-10,0.0,30.4,21.8,5.8,2.7,24.64,86.75,3.3
2014-02-11,9.1,31.7,21.7,11.7,2.1,27.32,83.25,2.266667
2014-02-12,26.3,27.8,21.4,3.4,3.0,23.78,95.75,1.9666669999999997
2014-02-13,18.1,23.2,20.5,0.0,1.0,21.58,92.75,1.3
2014-02-14,13.7,23.6,18.4,10.5,1.7,21.16,66.25,3.8666669999999996
2014-02-15,0.0,25.4,19.6,8.6,7.3,22.04,71.0,4.533333
2014-02-16,0.0,26.6,20.5,9.4,8.1,23.22,73.0,4.866667
2014-02-17,0.0,27.5,20.6,9.0,6.3,23.74,74.25,4.766667
2014-02-18,0.0,28.0,20.6,10.3,5.0,24.36,73.75,6.7
2014-02-19,0.0,28.9,21.5,10.3,5.4,24.72,78.5,4.5
2014-02-20,0.0,25.3,21.0,1.5,3.9,22.78,95.25,1.6
2014-02-21,6.5,30.6,20.6,9.5,0.9,24.84,87.75,1.7666669999999998
2014-02-22,0.0,29.0,20.0,4.7,1.8,23.76,87.75,2.433333
2014-02-23,6.6,28.7,20.6,3.9,2.3,22.78,91.75,2.0333330000000003
2014-02-24,19.9,28.8,19.0,9.2,1.3,23.3,86.0,1.7666669999999998
2014-02-25,0.0,24.7,20.2,2.2,2.2,21.98,90.5,1.466667
2014-02-26,14.0,20.5,17.8,0.0,1.3,18.58,95.25,2.6
2014-02-27,43.9,24.2,15.3,6.4,0.6,19.26,88.25,3.1333330000000004
2014-02-28,7.3,23.6,17.0,3.0,1.8,19.38,88.25,3.666667
2014-03-01,6.2,25.1,16.4,10.4,1.1,20.14,79.5,3.066667
2014-03-02,0.0,25.4,16.3,6.8,2.2,20.16,79.0,2.566667
2014-03-03,0.0,25.7,17.6,3.9,3.1,22.1,80.0,4.6
2014-03-04,4.8,29.5,20.6,6.9,4.2,23.26,85.75,3.7
2014-03-05,17.4,29.8,19.8,10.2,2.0,24.04,80.0,1.5
2014-03-06,0.0,29.1,19.1,10.8,2.5,23.6,77.25,1.8666669999999999
2014-03-07,0.0,25.8,18.8,7.3,3.0,20.84,83.75,2.3666669999999996
2014-03-08,0.0,25.6,15.8,10.9,1.9,20.16,78.75,2.4666669999999997
2014-03-09,0.0,26.9,14.6,11.1,2.7,20.94,86.5,2.4
2014-03-10,0.0,28.7,19.8,10.5,2.3,22.14,82.25,2.4666669999999997
2014-03-11,0.0,24.9,15.8,11.2,3.0,18.9,82.5,1.9666669999999997
2014-03-12,0.0,25.8,11.8,10.3,2.7,18.88,79.75,2.066667
2014-03-13,0.0,26.4,15.0,3.6,3.3,21.6,82.0,2.8
2014-03-14,0.0,28.4,19.3,10.5,3.7,23.78,82.0,4.266667
2014-03-15,5.2,27.4,20.2,9.3,3.8,22.28,80.75,3.933333
2014-03-16,0.0,26.4,15.4,2.5,3.8,21.78,91.25,2.233333
2014-03-17,34.6,27.6,20.2,4.1,1.7,22.6,88.5,2.1333330000000004
2014-03-18,0.0,23.4,18.3,1.5,1.8,19.8,81.25,2.1333330000000004
2014-03-19,14.9,19.7,17.5,0.0,2.1,18.68,97.5,3.066667
2014-03-20,27.0,26.6,18.9,5.1,0.3,21.42,89.5,3.0333330000000003
2014-03-21,0.0,26.5,17.1,10.9,1.4,20.36,79.0,4.0
2014-03-22,0.6,20.1,11.4,11.1,3.2,14.7,76.25,3.833333
2014-03-23,0.0,22.8,8.7,10.7,2.7,15.78,79.0,2.2
2014-03-24,0.0,24.5,11.4,10.2,2.9,18.6,85.5,2.6333330000000004
2014-03-25,0.0,27.2,15.6,9.2,2.6,21.64,82.75,2.833333
2014-03-26,0.0,25.8,19.0,9.4,2.9,22.12,84.75,4.6666669999999995
2014-03-27,1.3,28.2,20.2,10.0,3.4,23.64,83.5,4.733333
2014-03-28,0.0,31.4,21.2,6.2,3.1,24.4,82.5,2.266667
2014-03-29,4.0,28.4,17.9,7.3,2.4,22.9,92.25,2.4666669999999997
2014-03-30,0.0,26.4,20.2,0.4,1.3,22.12,92.75,4.1666669999999995
2014-03-31,30.3,23.3,19.2,0.7,0.9,20.58,93.25,2.4666669999999997
2014-04-01,0.9,24.0,19.8,0.6,1.0,21.62,92.0,2.4
2014-04-02,1.5,25.5,21.0,4.5,1.6,22.64,89.75,4.066667
2014-04-03,0.3,26.6,21.7,8.1,2.8,23.46,86.5,5.366667
2014-04-04,0.0,30.0,20.1,10.2,3.1,24.02,84.75,4.366667
2014-04-05,0.0,32.2,20.0,7.1,3.3,24.12,90.0,1.7666669999999998
2014-04-06,0.0,29.9,20.6,5.4,2.2,24.02,86.75,1.8666669999999999
2014-04-07,0.0,25.7,21.8,0.0,2.4,23.74,90.0,3.433333
2014-04-08,0.0,23.9,20.4,0.0,2.7,21.66,93.25,2.5333330000000003
2014-04-09,45.7,26.7,17.6,10.5,0.7,20.74,72.75,3.733333
2014-04-10,0.0,24.2,13.4,5.4,4.0,19.26,86.0,1.566667
2014-04-11,1.6,21.8,19.0,0.0,2.8,21.08,97.0,3.566667
2014-04-12,48.2,24.1,18.0,7.7,0.6,19.8,75.0,6.866667
2014-04-13,0.6,19.8,10.1,9.2,4.8,14.02,75.5,5.566667
2014-04-14,0.0,20.2,11.0,7.6,2.8,14.42,83.0,2.5333330000000003
2014-04-15,0.0,21.8,8.5,10.4,1.4,14.74,86.75,1.7666669999999998
2014-04-16,0.0,27.7,11.4,10.3,2.1,18.9,82.25,2.4
2014-04-17,0.0,29.3,16.2,6.1,1.8,21.18,90.5,1.366667
2014-04-18,0.0,22.2,18.8,0.3,1.8,20.04,92.25,1.7666669999999998
2014-04-19,1.8,23.0,15.8,5.0,0.7,18.08,85.25,2.733333
2014-04-20,0.0,23.4,12.0,9.9,1.5,16.72,83.0,1.5
2014-04-21,0.0,24.1,11.2,10.3,1.2,17.18,87.25,1.5
2014-04-22,0.0,20.8,13.0,10.0,2.0,15.2,77.0,1.533333
2014-04-23,0.0,22.2,8.6,9.5,2.5,14.42,80.25,1.433333
2014-04-24,0.0,21.4,8.6,10.3,2.0,14.2,86.0,1.9
2014-04-25,0.0,20.1,12.0,7.8,1.7,14.46,85.0,2.3666669999999996
2014-04-26,0.0,22.0,10.2,9.5,1.6,15.16,83.0,2.7
2014-04-27,0.0,23.0,11.1,10.3,3.5,17.94,71.75,5.533333
2014-04-28,0.0,23.0,13.8,1.0,5.0,17.84,82.5,3.6333330000000004
2014-04-29,0.0,25.2,12.1,7.9,2.4,17.9,89.25,1.9
2014-04-30,0.0,21.6,15.2,0.0,1.9,18.02,92.25,2.0
2014-05-01,11.0,20.4,16.0,2.2,0.8,17.84,92.25,3.8
2014-05-02,7.5,23.2,12.9,10.5,1.1,16.66,84.0,1.5
