date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,3.6,34.0,23.7,5.8,3.2,27.86,75.5,1.8
2014-01-02,0.1,34.4,24.8,5.1,3.7,27.84,74.75,3.4
2014-01-03,4.0,25.3,19.9,0.0,2.1,21.56,88.0,0.9
2014-01-04,9.2,28.2,17.5,12.3,1.2,22.62,62.75,2.3666669999999996
2014-01-05,0.0,31.6,17.8,12.7,3.3,25.02,62.5,2.8666669999999996
2014-01-06,0.0,34.4,19.5,12.5,3.4,26.06,67.75,2.1907330000000003
2014-01-07,0.0,36.2,22.2,12.4,4.5,29.44,59.5,1.633333
2014-01-08,0.0,30.0,23.8,1.8,5.6,25.62,74.5,3.166667
2014-01-09,0.0,33.3,21.3,10.6,2.6,26.4,74.5,2.333333
2014-01-10,14.6,31.1,21.9,3.4,2.8,24.2,87.5,3.8666669999999996
2014-01-11,10.3,29.4,20.1,3.1,0.7,23.88,91.0,2.833333
2014-01-12,9.1,28.1,20.0,1.5,1.3,22.9,85.75,1.333333
2014-01-13,0.2,29.0,21.6,4.0,1.1,24.44,84.75,2.6
2014-01-14,1.3,31.0,22.1,8.2,1.0,24.64,81.5,2.733333
2014-01-15,8.3,28.3,21.9,2.5,2.2,24.4,84.5,1.6
2014-01-16,3.5,31.2,19.2,11.7,1.1,24.96,73.25,2.1
2014-01-17,0.0,34.8,19.2,12.3,2.7,26.38,68.25,3.566667
2014-01-18,0.0,36.4,20.0,11.3,3.3,27.98,58.75,2.0
2014-01-19,0.0,37.0,21.6,11.4,3.7,29.52,56.75,2.166667
2014-01-20,0.0,37.0,23.5,11.5,5.0,29.82,45.25,3.233333
2014-01-21,0.0,37.3,22.3,12.5,6.5,31.04,48.0,2.3666669999999996
2014-01-22,0.0,37.2,25.2,10.3,5.9,30.0,66.5,2.9
2014-01-23,0.0,37.0,25.1,11.6,3.8,31.48,58.75,3.5
2014-01-24,0.0,37.6,26.5,8.8,5.2,29.64,70.75,3.233333
2014-01-25,5.7,27.0,20.0,0.0,3.6,21.72,84.25,3.2
2014-01-26,2.0,26.4,19.7,1.1,1.0,23.08,84.25,5.066667
2014-01-27,1.6,36.3,22.7,8.9,2.0,28.92,68.0,1.8
2014-01-28,0.0,37.7,24.2,8.8,2.6,29.3,67.0,2.733333
2014-01-29,2.6,38.2,25.1,11.9,3.4,29.66,64.25,4.4
2014-01-30,0.0,37.7,24.3,9.9,3.7,28.26,68.0,2.166667
2014-01-31,0.7,32.6,23.0,7.0,3.7,26.6,72.5,2.333333
2014-02-01,2.0,34.2,23.0,8.0,2.2,26.78,78.25,5.433333
2014-02-02,6.2,38.2,22.6,11.4,2.6,30.62,62.5,2.5
2014-02-03,0.0,37.8,22.6,10.1,4.4,29.64,62.75,2.6
2014-02-04,0.2,37.8,25.2,7.7,4.4,29.9,66.5,2.6
2014-02-05,0.0,39.9,24.9,12.0,3.4,32.34,56.0,1.833333
2014-02-06,0.0,40.6,26.6,12.0,5.6,31.72,66.25,2.733333
2014-02-07,0.0,39.8,27.1,10.6,4.3,33.32,56.25,3.1333330000000004
2014-02-08,0.0,34.8,22.6,7.4,5.1,27.34,73.25,1.8666669999999999
2014-02-09,6.5,38.1,22.6,10.7,3.1,29.3,67.25,2.0
2014-02-10,0.0,36.8,22.6,10.4,3.7,27.08,79.75,3.066667
2014-02-11,22.9,37.5,22.7,10.3,2.5,29.2,70.75,1.466667
2014-02-12,0.0,35.6,24.2,9.0,3.1,27.48,80.0,2.233333
2014-02-13,2.1,25.6,20.0,1.7,2.4,22.32,91.0,4.2
2014-02-14,42.0,25.3,18.4,4.0,0.7,21.1,78.25,2.8666669999999996
2014-02-15,2.4,26.3,19.2,10.6,2.5,22.54,65.0,5.233333
2014-02-16,0.0,27.6,18.3,9.0,2.9,22.64,73.5,5.533333
2014-02-17,0.0,30.0,19.8,11.4,2.5,24.38,69.75,4.966667
2014-02-18,0.0,30.3,20.2,11.6,3.1,24.82,70.5,4.2
2014-02-19,0.0,32.0,21.0,10.9,2.9,25.72,67.5,3.733333
2014-02-20,0.0,27.5,21.5,0.4,2.9,24.02,78.75,1.633333
2014-02-21,0.6,33.3,21.8,10.5,1.5,27.22,71.0,2.266667
2014-02-22,0.0,32.4,22.6,6.3,2.9,25.44,80.5,2.6
2014-02-23,3.1,30.0,22.1,3.4,1.6,24.48,87.25,0.9
2014-02-24,3.7,32.5,21.4,11.2,1.7,26.18,76.75,2.9
2014-02-25,0.0,29.2,22.2,2.8,2.3,24.84,84.75,4.533333
2014-02-26,22.7,23.9,21.1,0.0,1.2,22.1,96.0,1.9666669999999997
2014-02-27,29.6,22.5,17.8,0.3,0.5,19.62,90.0,2.266667
2014-02-28,3.7,26.2,17.6,8.6,0.4,20.64,81.0,2.9
2014-03-01,0.3,26.8,17.4,8.6,1.9,21.54,74.25,2.266667
2014-03-02,0.0,27.6,17.5,10.3,2.2,22.06,75.0,2.6333330000000004
2014-03-03,0.0,28.6,19.4,7.9,2.1,23.38,76.5,5.133333
2014-03-04,14.6,29.8,19.9,7.3,2.2,24.0,78.75,1.9
2014-03-05,2.6,28.3,20.2,3.0,2.0,24.28,81.75,1.5
2014-03-06,0.4,30.0,20.4,9.5,1.5,24.7,71.5,2.7
2014-03-07,0.0,29.4,19.9,9.1,2.6,23.5,76.25,3.166667
2014-03-08,0.0,25.8,19.6,5.2,2.1,22.0,81.25,2.566667
2014-03-09,26.0,29.9,18.9,8.5,1.1,23.28,79.0,1.166667
2014-03-10,0.0,28.4,20.2,5.7,2.6,24.46,77.25,2.8666669999999996
2014-03-11,15.1,27.7,20.4,6.0,1.8,23.18,76.0,2.333333
2014-03-12,0.0,27.6,18.8,6.5,2.3,22.38,69.75,3.6
2014-03-13,0.0,28.5,20.7,7.6,2.8,23.76,76.75,3.333333
2014-03-14,0.0,32.4,19.2,10.3,2.4,25.14,74.0,1.2
2014-03-15,1.3,27.0,22.9,0.6,3.6,24.34,82.25,2.066667
2014-03-16,0.0,31.6,21.2,7.8,2.0,25.76,80.5,2.7
2014-03-17,20.6,26.8,20.9,0.6,2.5,23.76,87.0,1.233333
2014-03-18,15.9,25.4,20.3,0.0,1.0,21.56,88.5,3.4
2014-03-19,9.0,23.9,20.2,0.0,0.9,21.68,94.75,1.4
2014-03-20,2.6,26.6,19.3,3.3,0.5,22.78,82.25,2.8666669999999996
2014-03-21,0.1,26.0,21.1,4.9,1.3,22.6,76.25,3.433333
2014-03-22,2.7,21.9,14.7,5.9,1.8,16.6,66.75,1.9
2014-03-23,0.0,24.8,11.8,9.9,2.2,17.54,69.75,2.1333330000000004
2014-03-24,0.0,29.2,13.7,9.8,2.4,21.06,73.0,3.066667
2014-03-25,0.0,29.7,17.4,6.4,1.9,22.44,75.5,2.0333330000000003
2014-03-26,0.0,29.1,18.8,7.3,2.5,22.66,77.5,3.9666669999999997
2014-03-27,0.0,29.6,20.9,8.4,2.4,24.16,77.75,3.666667
2014-03-28,0.0,32.4,19.5,9.2,2.4,25.36,72.0,0.666667
2014-03-29,0.0,34.0,21.8,9.4,2.9,26.36,67.0,2.4666669999999997
2014-03-30,0.0,31.8,22.8,2.3,3.3,25.96,79.5,2.4
2014-03-31,15.2,26.0,22.0,0.0,2.0,23.12,91.75,2.0333330000000003
2014-04-01,11.9,27.4,21.4,3.0,0.9,23.32,91.0,1.8666669999999999
2014-04-02,2.8,28.4,20.9,8.5,1.0,23.82,82.0,5.6666669999999995
2014-04-03,0.0,28.7,20.1,9.6,2.3,23.64,77.5,3.3666669999999996
2014-04-04,0.0,31.4,19.2,9.7,2.2,24.46,75.25,1.266667
2014-04-05,0.0,32.1,18.1,9.2,2.8,25.04,54.25,3.4666669999999997
2014-04-06,0.0,32.2,20.4,6.6,3.5,25.52,77.25,2.233333
2014-04-07,0.0,30.3,22.2,3.5,2.3,24.6,83.0,2.766667
2014-04-08,0.0,31.3,21.8,1.5,2.0,25.12,79.25,2.0
2014-04-09,12.4,28.7,21.2,6.2,1.6,23.62,74.0,3.066667
2014-04-10,0.0,28.4,16.7,7.9,2.4,22.1,73.25,4.233333
2014-04-11,0.0,26.3,21.2,0.0,2.3,22.92,92.75,1.666667
2014-04-12,53.8,25.5,21.1,6.3,0.0,22.48,75.75,3.333333
2014-04-13,0.0,21.8,12.2,9.4,3.8,16.08,64.5,3.566667
2014-04-14,0.0,22.6,12.5,9.1,2.5,16.36,73.5,1.8666669999999999
2014-04-15,0.0,24.5,13.0,7.5,1.5,18.42,75.5,1.7666669999999998
2014-04-16,0.0,28.7,14.4,8.3,1.6,20.96,79.0,1.1
2014-04-17,0.0,29.7,17.2,6.5,2.1,23.7,75.25,2.3666669999999996
2014-04-18,0.2,28.4,21.0,2.2,2.1,23.16,83.0,3.3666669999999996
2014-04-19,1.6,23.0,20.4,0.0,2.2,21.14,88.5,2.4
2014-04-20,0.8,25.7,18.2,6.0,0.2,20.36,76.75,2.566667
2014-04-21,0.0,28.3,15.2,7.6,1.4,20.94,80.5,1.9666669999999997
2014-04-22,0.0,22.8,18.1,7.7,2.5,19.4,70.75,3.566667
2014-04-23,0.0,23.1,14.2,2.3,0.7,18.5,73.25,1.9333330000000002
2014-04-24,0.0,22.0,15.8,6.9,1.4,17.44,79.5,2.3666669999999996
2014-04-25,0.0,22.1,12.2,7.0,1.4,15.78,76.75,2.766667
2014-04-26,0.0,22.4,11.7,7.0,1.2,16.12,80.75,2.833333
2014-04-27,0.0,24.3,14.3,8.4,2.2,18.66,69.75,4.5
2014-04-28,0.0,25.9,14.2,7.2,3.2,19.26,70.75,2.066667
