date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.8,34.6,22.6,8.9,3.7,28.78,67.0,0.666667
2014-01-02,0.0,33.2,22.6,8.2,5.5,25.96,71.75,4.3333330000000005
2014-01-03,3.2,26.0,19.8,4.5,4.8,22.52,58.0,3.666667
2014-01-04,0.0,29.2,15.5,11.7,5.6,22.92,51.0,1.333333
2014-01-05,0.0,32.4,18.1,12.0,6.6,26.54,44.25,1.666667
2014-01-06,0.0,35.9,21.5,12.0,10.4,28.6,46.75,4.3333330000000005
2014-01-07,0.0,36.0,20.5,9.8,13.0,25.08,77.0,5.0
2014-01-08,51.2,30.0,19.3,9.3,7.1,25.02,72.0,0.666667
2014-01-09,0.0,32.3,21.6,10.6,3.0,27.56,62.0,3.0
2014-01-10,0.0,29.9,20.7,1.8,5.1,23.96,81.75,3.0
2014-01-11,20.3,24.3,19.3,0.0,1.2,20.96,84.25,2.333333
2014-01-12,18.0,23.2,17.5,0.0,1.8,20.14,77.5,4.3333330000000005
2014-01-13,10.6,25.1,17.6,2.3,3.2,21.62,87.0,4.3333330000000005
2014-01-14,64.0,26.0,19.3,1.9,1.7,21.54,79.75,1.0
2014-01-15,11.2,27.8,17.5,10.2,1.0,23.34,70.5,1.333333
2014-01-16,0.0,30.4,20.6,11.3,3.4,26.06,59.25,0.666667
2014-01-17,0.0,32.2,20.5,11.8,5.2,26.96,56.0,1.333333
2014-01-18,0.0,33.5,21.8,11.6,7.0,28.28,58.75,1.0
2014-01-19,0.0,34.3,23.6,11.6,5.3,29.16,59.0,1.666667
2014-01-20,0.0,35.0,23.4,11.0,7.1,29.12,62.5,3.0
2014-01-21,0.0,34.4,23.5,11.2,8.6,26.94,75.25,3.666667
2014-01-22,30.2,32.4,21.4,3.5,7.2,26.68,78.0,2.333333
2014-01-23,12.4,34.2,24.6,6.3,5.0,29.02,69.25,3.666667
2014-01-24,0.0,32.1,19.5,4.3,8.0,23.96,83.75,5.0
2014-01-25,13.0,23.2,13.7,8.1,3.3,18.42,61.25,5.0
2014-01-26,0.0,23.0,16.5,0.0,6.2,20.0,84.75,5.0
2014-01-27,5.6,31.0,20.6,4.5,1.2,24.48,84.75,1.666667
2014-01-28,1.2,33.9,22.7,11.9,2.9,27.08,77.0,3.666667
2014-01-29,0.0,30.0,23.5,5.7,5.6,26.26,86.75,1.333333
2014-01-30,1.3,33.0,23.6,8.4,3.1,26.64,86.25,5.0
2014-01-31,24.0,25.1,21.6,0.2,3.8,23.42,81.75,3.666667
2014-02-01,10.2,29.1,20.8,3.6,2.0,23.06,84.0,0.666667
2014-02-02,55.4,34.2,20.6,10.4,2.5,25.2,77.5,4.0
2014-02-03,12.4,34.2,22.1,8.9,5.6,27.02,73.75,3.666667
2014-02-04,0.0,31.0,23.4,5.5,6.3,26.56,70.25,2.333333
2014-02-05,0.0,35.6,25.6,12.1,4.9,30.08,68.75,3.666667
2014-02-06,0.0,34.3,25.6,9.0,8.0,28.38,83.0,3.0
2014-02-07,0.0,35.8,24.5,12.1,4.9,30.48,62.75,2.666667
2014-02-08,0.0,35.4,25.1,11.8,8.6,28.56,63.75,3.666667
2014-02-09,0.0,31.6,24.1,8.8,8.5,28.12,74.5,2.666667
