date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,18.0,30.0,22.8,0.0,2.7,26.08,73.0,4.3333330000000005
2014-01-02,0.0,32.0,21.2,0.0,3.8,25.04,83.75,3.0
2014-01-03,51.4,24.3,20.0,0.0,4.0,21.82,55.25,4.3333330000000005
2014-01-04,0.0,26.8,14.4,0.0,5.5,22.36,55.0,2.333333
2014-01-05,0.0,31.7,20.1,0.0,6.9,25.24,55.0,2.666667
2014-01-06,0.0,30.1,22.5,0.0,6.3,25.2,72.0,3.666667
2014-01-07,0.0,32.6,20.6,0.0,6.3,24.44,81.5,3.4666669999999997
2014-01-08,32.8,29.5,19.7,0.0,4.5,22.88,75.75,2.333333
2014-01-09,0.0,28.0,17.8,0.0,2.8,23.76,71.25,3.0
2014-01-10,0.0,26.5,20.3,0.0,4.2,22.6,84.0,1.333333
2014-01-11,4.4,26.1,18.6,0.0,1.5,22.9,81.75,3.0
2014-01-12,4.2,25.2,21.4,0.0,3.0,22.8,67.25,4.0
2014-01-13,0.4,24.6,21.4,0.0,5.0,23.12,82.25,3.666667
2014-01-14,6.0,26.6,20.3,0.0,1.5,22.26,85.0,2.666667
2014-01-15,11.2,27.9,19.6,0.0,1.8,23.5,75.75,2.0
2014-01-16,0.0,31.0,18.7,0.0,2.7,24.62,65.5,3.0
2014-01-17,0.0,31.0,21.8,0.0,6.5,25.96,69.25,2.666667
2014-01-18,0.0,34.0,23.6,0.0,4.0,28.16,65.0,2.0
2014-01-19,0.0,36.6,25.5,0.0,5.5,29.82,57.75,1.666667
2014-01-20,0.0,31.5,24.9,0.0,4.7,27.68,68.5,2.0
2014-01-21,0.0,37.2,24.9,0.0,5.3,28.38,64.0,4.6666669999999995
2014-01-22,29.4,29.2,21.7,0.0,7.0,25.86,74.0,1.666667
2014-01-23,5.0,34.3,26.1,0.0,2.7,29.76,67.5,2.0
2014-01-24,0.0,33.4,22.6,0.0,4.5,26.32,77.5,5.0
2014-01-25,1.4,25.0,18.9,0.0,3.8,22.34,49.5,4.0
2014-01-26,0.0,24.2,20.8,0.0,3.4,22.8,79.0,3.0
2014-01-27,2.0,30.3,22.1,0.0,1.1,25.52,78.25,2.0
2014-01-28,3.6,35.6,23.6,0.0,5.6,26.76,76.25,2.333333
2014-01-29,5.0,29.0,20.3,0.0,1.3,24.54,82.75,1.666667
2014-01-30,25.4,33.2,21.6,0.0,1.3,25.68,79.25,1.666667
2014-01-31,17.6,26.5,21.4,0.0,3.0,24.02,78.0,1.666667
2014-02-01,3.0,28.3,21.7,0.0,1.9,24.08,81.0,1.0
2014-02-02,2.6,34.0,20.5,0.0,3.5,24.58,80.25,3.0
2014-02-03,29.6,30.5,20.0,0.0,3.3,25.86,83.0,3.666667
2014-02-04,0.0,29.6,22.5,0.0,2.5,26.22,74.5,1.666667
2014-02-05,0.0,36.3,25.7,0.0,3.4,30.04,75.5,2.333333
2014-02-06,0.0,31.0,25.0,0.0,4.1,27.16,76.0,3.0
2014-02-07,0.0,38.1,24.0,0.0,2.5,29.18,72.5,2.333333
2014-02-08,0.0,32.2,25.3,0.0,7.2,27.42,70.5,3.0
2014-02-09,0.0,31.4,23.7,0.0,6.8,27.58,70.75,3.0
2014-02-10,0.0,29.6,22.6,0.0,1.6,26.16,76.75,2.333333
2014-02-11,15.0,31.8,21.1,0.0,2.9,27.28,78.25,2.666667
2014-02-12,7.0,27.4,22.8,0.0,2.7,24.28,82.75,2.666667
2014-02-13,7.4,24.5,21.1,0.0,2.1,23.2,81.25,3.666667
2014-02-14,7.6,24.6,21.2,0.0,4.2,22.2,67.75,5.3333330000000005
2014-02-15,0.0,25.8,21.4,0.0,9.3,22.64,60.5,5.6666669999999995
2014-02-16,0.0,26.4,20.8,0.0,8.7,23.24,61.75,5.6666669999999995
2014-02-17,0.4,27.0,20.6,0.0,7.7,23.4,69.75,5.3333330000000005
2014-02-18,0.0,28.0,22.4,0.0,4.1,24.48,70.0,5.0
2014-02-19,0.0,28.2,22.7,0.0,7.0,24.5,72.5,5.6666669999999995
2014-02-20,0.0,24.6,22.2,0.0,5.0,23.44,87.5,2.666667
