date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.1,34.6,24.2,8.2,2.8,28.64,71.75,2.5333330000000003
2014-01-02,3.3,32.2,23.2,5.3,5.0,26.36,79.0,2.9666669999999997
2014-01-03,13.2,25.6,21.2,0.7,3.6,22.2,79.75,2.5
2014-01-04,0.0,28.4,17.8,11.6,2.2,22.36,70.5,1.666667
2014-01-05,0.0,31.6,15.8,12.2,3.0,23.92,72.0,1.7666669999999998
2014-01-06,0.0,34.4,18.0,12.0,2.4,27.08,68.75,1.7666669999999998
2014-01-07,0.0,36.6,22.2,12.3,3.0,30.0,57.25,3.4666669999999997
2014-01-08,8.8,31.4,20.0,4.9,8.6,24.96,82.5,0.766667
2014-01-09,0.0,34.6,20.2,9.3,3.2,26.76,84.5,1.233333
2014-01-10,0.5,34.8,20.8,5.0,2.9,25.68,86.75,2.766667
2014-01-11,42.0,24.2,20.0,0.0,3.5,21.88,94.25,1.266667
2014-01-12,11.3,26.2,20.0,1.4,1.6,22.4,87.0,5.3
2014-01-13,0.5,30.4,20.6,5.7,1.8,23.84,86.5,2.2
2014-01-14,1.2,29.2,20.2,4.1,2.8,23.16,95.0,0.933333
2014-01-15,16.0,29.4,20.2,3.8,1.4,24.08,85.75,1.066667
2014-01-16,0.0,32.0,20.0,9.7,2.1,25.28,84.5,1.033333
2014-01-17,0.0,34.2,20.4,10.7,2.9,26.92,82.0,1.1
2014-01-18,0.0,35.0,21.6,9.8,3.8,27.88,77.75,1.466667
2014-01-19,0.0,35.4,22.2,10.0,4.6,28.52,75.25,1.266667
2014-01-20,0.4,37.8,22.0,10.2,5.0,29.36,69.5,1.366667
2014-01-21,0.0,37.4,24.8,12.3,5.4,30.84,58.5,2.6333330000000004
2014-01-22,0.0,36.4,24.2,7.2,9.0,29.7,73.25,1.6
2014-01-23,0.0,37.0,27.0,11.7,5.6,31.76,62.0,2.433333
2014-01-24,0.0,37.2,23.6,7.9,9.8,28.0,76.75,3.3
2014-01-25,5.4,23.8,17.0,0.0,4.9,19.88,87.75,4.066667
2014-01-26,1.8,26.0,18.8,0.2,2.5,22.08,94.25,3.2
2014-01-27,2.8,34.2,22.2,5.3,1.4,26.44,89.25,1.8666669999999999
2014-01-28,5.4,36.4,22.8,12.3,2.2,29.6,68.75,2.333333
2014-01-29,0.0,36.8,24.8,8.9,6.8,28.84,72.0,2.4666669999999997
2014-01-30,0.0,36.8,21.8,8.2,5.7,25.8,80.0,2.5333330000000003
2014-01-31,19.6,31.2,20.6,8.4,5.1,26.24,76.5,1.633333
2014-02-01,0.0,34.4,22.4,7.6,4.2,26.36,81.0,2.4
2014-02-02,2.9,36.6,22.0,8.8,3.6,27.84,72.75,2.2
2014-02-03,0.0,38.2,22.0,11.6,5.5,29.52,65.25,1.6
2014-02-04,0.0,36.2,24.6,8.8,10.2,29.72,74.5,2.2
2014-02-05,4.0,38.6,23.6,11.8,5.0,30.48,66.25,2.266667
2014-02-06,0.0,39.2,24.2,10.7,7.2,30.76,59.5,2.9
2014-02-07,0.0,40.2,23.4,11.1,6.0,30.84,60.5,1.6
2014-02-08,0.0,37.6,24.4,5.1,9.4,29.12,72.5,2.8666669999999996
2014-02-09,2.0,40.0,23.0,8.2,5.0,28.24,74.75,2.433333
2014-02-10,6.2,34.0,22.4,8.6,4.6,27.36,78.0,1.833333
2014-02-11,0.0,38.6,21.8,12.0,3.8,29.16,71.5,1.433333
2014-02-12,0.0,33.6,22.6,7.1,4.8,25.88,87.25,2.566667
2014-02-13,13.5,24.8,18.8,0.1,2.2,20.96,98.75,2.7
2014-02-14,13.3,25.4,18.4,3.9,0.5,20.92,76.25,2.433333
2014-02-15,0.0,27.2,16.0,11.4,3.7,21.28,71.5,4.966667
2014-02-16,0.0,28.4,16.4,11.7,5.3,22.28,73.75,3.3666669999999996
2014-02-17,0.0,30.0,17.6,11.3,5.1,23.36,75.0,2.3666669999999996
2014-02-18,0.0,31.8,19.4,11.4,4.6,25.16,72.25,2.933333
2014-02-19,0.0,31.4,19.8,8.1,4.5,25.36,70.5,2.6
2014-02-20,0.0,25.4,22.0,1.2,4.3,23.48,90.75,1.9
2014-02-21,11.0,31.8,20.0,11.1,1.7,25.72,83.0,0.933333
2014-02-22,0.0,31.2,21.0,5.2,2.2,24.28,91.25,1.666667
2014-02-23,2.9,32.8,20.8,8.4,1.8,25.16,87.0,1.566667
2014-02-24,0.0,33.2,20.8,11.0,2.4,26.12,75.0,1.8666669999999999
2014-02-25,0.0,25.8,20.4,0.0,3.3,21.96,98.75,3.0333330000000003
2014-02-26,11.0,22.0,19.4,0.0,0.9,20.24,96.25,3.0
2014-02-27,41.8,24.6,15.4,5.0,0.8,19.4,85.5,1.466667
2014-02-28,0.4,26.6,15.4,7.7,1.3,20.44,83.25,1.533333
2014-03-01,0.0,27.8,14.4,10.9,2.5,20.68,79.0,1.833333
2014-03-02,0.0,27.2,14.2,9.7,2.8,20.6,78.0,2.266667
2014-03-03,0.0,28.8,17.6,7.5,3.7,21.96,86.0,2.6333330000000004
2014-03-04,26.6,28.8,20.6,4.1,2.2,24.4,80.75,1.833333
2014-03-05,0.0,29.8,21.0,8.9,2.2,23.88,77.5,1.366667
2014-03-06,0.0,30.2,16.8,10.9,2.8,22.92,75.75,1.4
