date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,26.2,25.1,21.8,0.0,0.9,22.66,94.0,1.333333
2014-01-02,13.7,24.7,21.1,0.0,0.7,22.8,92.75,2.0
2014-01-03,32.3,23.5,19.1,0.0,0.8,20.44,96.75,1.333333
2014-01-04,21.8,24.1,16.8,1.4,0.6,20.1,89.75,2.0
2014-01-05,0.0,27.7,17.2,8.4,1.5,22.82,80.5,1.0
2014-01-06,0.0,30.6,19.6,9.8,2.2,23.6,76.5,1.333333
2014-01-07,12.1,28.0,19.2,5.9,2.8,23.12,75.75,1.0
2014-01-08,0.0,29.1,20.1,8.4,3.5,22.44,85.25,1.333333
2014-01-09,3.4,28.7,18.4,11.1,2.6,24.26,80.5,1.0
2014-01-10,1.2,29.7,21.1,8.5,2.9,25.24,79.25,1.0
2014-01-11,8.9,30.2,19.1,4.9,2.9,22.9,84.75,1.666667
2014-01-12,14.9,24.3,19.5,0.7,2.2,20.92,92.0,1.333333
2014-01-13,2.0,25.5,18.2,1.5,1.2,21.1,85.5,1.333333
2014-01-14,0.0,25.6,17.2,7.2,1.6,21.64,82.0,1.333333
2014-01-15,0.0,24.4,19.0,4.6,2.1,20.88,88.5,1.666667
2014-01-16,4.6,26.9,17.2,9.7,1.3,22.58,77.5,0.666667
2014-01-17,0.0,29.9,18.8,11.7,2.2,24.58,65.25,1.0
2014-01-18,0.0,30.3,20.4,10.7,3.9,25.1,71.5,1.333333
2014-01-19,0.5,31.1,20.0,10.7,3.6,25.62,64.5,1.0
2014-01-20,0.0,31.3,21.7,10.7,4.3,26.2,53.5,1.0
2014-01-21,0.0,31.4,21.1,12.5,5.0,26.6,59.75,0.666667
2014-01-22,0.0,32.0,22.4,11.7,5.5,27.62,63.5,1.0
2014-01-23,0.0,31.6,23.5,11.1,3.1,27.26,67.25,2.666667
2014-01-24,0.0,27.9,22.2,4.7,4.4,25.1,82.5,2.0
2014-01-25,6.4,25.6,21.5,0.6,1.4,22.8,89.75,1.333333
2014-01-26,1.6,30.3,19.8,10.7,1.2,24.74,75.75,1.0
2014-01-27,0.0,31.1,20.6,11.9,3.0,26.22,67.0,1.666667
2014-01-28,0.0,32.9,21.7,12.3,4.3,27.08,67.75,1.666667
2014-01-29,0.0,32.3,22.3,10.4,3.7,26.16,64.0,2.0
2014-01-30,0.0,32.5,20.8,10.8,4.5,26.06,59.5,1.333333
2014-01-31,0.0,31.7,21.9,5.4,5.6,24.48,78.5,1.0
2014-02-01,10.6,32.3,20.0,10.9,3.0,24.62,74.25,1.0
2014-02-02,13.3,32.7,20.4,11.5,3.5,27.14,59.5,1.0
2014-02-03,0.0,32.7,23.5,9.4,5.0,26.68,63.5,1.666667
2014-02-04,0.6,33.0,21.5,11.9,4.4,27.66,52.25,1.333333
2014-02-05,0.0,34.2,19.8,10.1,5.6,27.84,54.75,1.333333
2014-02-06,0.0,33.8,22.9,9.1,5.3,27.94,63.5,1.333333
2014-02-07,0.0,35.5,23.1,8.6,4.7,28.4,58.0,1.666667
2014-02-08,0.0,34.6,23.1,9.0,4.6,26.68,61.75,1.333333
2014-02-09,0.0,35.1,21.1,8.8,4.8,25.92,60.25,1.0
2014-02-10,0.2,34.8,21.3,10.1,3.6,27.1,61.75,1.333333
2014-02-11,0.9,35.3,21.5,11.8,4.2,28.1,53.25,1.0
2014-02-12,0.0,35.0,21.0,7.9,2.8,24.84,70.25,2.666667
2014-02-13,0.8,31.1,19.2,4.9,3.0,22.72,79.75,1.333333
2014-02-14,59.7,21.3,18.6,1.2,2.1,19.66,80.75,4.3333330000000005
2014-02-15,0.6,24.3,18.2,2.8,2.4,20.46,69.0,3.666667
2014-02-16,0.0,26.9,14.8,11.9,3.5,21.22,67.5,2.333333
2014-02-17,0.0,28.7,15.6,12.1,4.0,22.26,66.0,2.666667
2014-02-18,0.0,29.5,17.0,11.6,4.3,23.02,64.5,2.333333
2014-02-19,0.0,29.7,17.4,10.4,4.2,23.58,59.75,1.666667
2014-02-20,0.0,26.9,20.0,0.0,3.6,21.68,86.75,2.0
2014-02-21,2.1,28.1,19.6,9.9,1.4,23.88,70.75,1.666667
2014-02-22,0.0,28.7,20.1,4.9,2.1,23.12,77.25,1.333333
2014-02-23,0.0,26.1,20.8,2.0,1.9,22.14,92.0,1.666667
2014-02-24,20.9,28.9,20.2,5.9,0.9,24.24,79.0,1.0
2014-02-25,0.0,27.7,19.2,6.7,1.7,23.54,78.75,1.0
2014-02-26,8.6,28.9,20.6,7.7,1.6,23.3,84.75,2.333333
2014-02-27,28.9,23.4,18.1,5.7,2.1,19.34,83.5,2.0
2014-02-28,0.0,23.9,13.2,8.9,1.3,18.3,77.25,1.0
2014-03-01,0.0,25.7,13.2,10.9,1.9,19.7,69.5,0.666667
2014-03-02,0.0,29.3,15.4,9.7,2.5,22.18,68.5,1.0
2014-03-03,0.6,25.6,19.2,1.8,2.2,20.72,89.25,1.0
2014-03-04,18.5,23.0,18.7,2.2,0.8,20.3,95.0,1.333333
2014-03-05,39.7,26.1,18.2,8.8,0.7,21.68,83.25,1.0
2014-03-06,0.0,26.1,16.8,11.1,1.2,21.3,70.75,1.0
2014-03-07,0.0,27.5,17.2,11.1,1.7,22.02,71.25,1.333333
2014-03-08,0.0,26.9,17.0,10.7,2.3,21.46,72.25,1.0
2014-03-09,0.0,27.7,16.6,11.2,2.5,21.78,70.75,1.0
2014-03-10,0.0,23.5,17.5,1.0,2.6,19.32,91.75,1.666667
2014-03-11,40.0,26.1,18.1,7.4,0.8,21.52,83.25,1.0
2014-03-12,8.0,27.9,18.0,8.0,2.0,20.84,75.5,1.333333
2014-03-13,0.0,28.3,16.0,10.9,2.4,22.38,69.0,1.0
2014-03-14,0.0,29.7,19.0,9.8,3.0,23.3,72.75,2.0
2014-03-15,0.0,25.8,19.6,4.4,3.6,22.8,82.25,2.0
2014-03-16,4.3,30.5,19.9,10.1,1.8,24.76,71.25,2.0
2014-03-17,0.0,28.3,19.8,5.3,4.2,22.38,87.75,1.333333
2014-03-18,6.9,26.5,18.6,3.9,1.3,21.5,84.5,1.333333
2014-03-19,0.6,24.3,17.4,0.6,1.6,19.78,93.0,1.333333
2014-03-20,40.0,22.5,17.2,0.5,0.9,19.74,94.25,2.0
2014-03-21,51.9,24.7,18.8,5.6,0.6,20.12,88.75,2.0
2014-03-22,0.4,21.5,14.4,8.7,0.9,16.38,80.5,1.666667
2014-03-23,0.0,24.7,9.2,11.1,2.0,16.66,71.5,1.666667
2014-03-24,0.0,25.7,14.0,8.7,1.0,19.7,70.5,1.333333
2014-03-25,0.0,25.6,15.2,10.7,2.5,20.28,65.0,1.666667
2014-03-26,0.0,24.1,15.0,6.7,3.1,19.7,72.75,2.0
2014-03-27,0.0,27.4,16.6,10.0,2.6,21.96,67.75,1.333333
2014-03-28,0.0,29.5,17.8,8.5,2.9,22.98,66.0,1.0
2014-03-29,0.0,30.5,18.1,10.2,3.0,22.36,74.5,1.666667
2014-03-30,2.8,24.5,20.3,1.7,4.0,22.24,85.0,2.0
2014-03-31,52.6,26.1,17.8,5.0,1.9,21.02,81.75,1.0
2014-04-01,0.0,26.7,18.4,6.5,1.5,21.58,81.5,1.666667
2014-04-02,0.0,26.0,18.4,8.3,1.9,21.82,72.5,3.333333
2014-04-03,0.0,27.9,17.2,9.8,2.8,21.94,71.75,2.666667
2014-04-04,0.0,29.3,17.0,9.2,2.8,22.62,65.5,1.666667
2014-04-05,0.0,30.1,17.0,9.6,3.5,22.86,69.75,1.666667
2014-04-06,0.0,30.5,18.4,9.9,2.0,23.94,72.0,0.666667
2014-04-07,0.0,31.7,20.0,8.1,2.9,25.14,66.25,1.0
2014-04-08,0.0,32.1,20.6,9.5,2.3,25.66,70.25,1.666667
2014-04-09,70.0,25.5,18.3,0.0,1.9,19.92,93.75,1.333333
2014-04-10,2.2,27.7,16.8,3.1,0.7,21.14,81.5,1.333333
2014-04-11,0.0,22.4,20.2,0.0,2.3,21.28,92.75,1.0
2014-04-12,66.6,22.6,16.7,3.8,0.7,18.62,89.5,2.0
2014-04-13,1.3,18.5,12.1,9.4,1.1,13.78,67.5,1.333333
2014-04-14,0.0,19.7,7.4,10.2,1.5,13.24,74.0,2.0
2014-04-15,0.0,24.5,10.8,10.4,1.6,17.58,70.75,1.333333
2014-04-16,0.0,26.9,13.8,10.1,2.0,19.84,73.25,1.666667
2014-04-17,0.0,27.3,17.2,4.6,3.0,21.58,81.0,1.0
2014-04-18,14.9,22.3,16.8,0.0,2.2,18.74,86.25,1.0
2014-04-19,0.0,19.4,16.5,0.0,1.3,17.6,92.75,1.0
2014-04-20,6.8,22.9,16.1,4.9,0.6,18.66,86.75,1.0
2014-04-21,0.0,26.4,15.1,7.0,1.4,19.5,89.25,1.0
2014-04-22,0.8,22.9,17.4,3.7,1.7,18.82,84.5,1.333333
2014-04-23,0.0,22.8,14.8,5.9,1.7,18.58,85.0,1.0
2014-04-24,1.0,21.4,15.4,4.0,1.1,17.24,89.5,0.666667
2014-04-25,0.0,20.9,13.1,4.9,1.1,15.72,82.5,1.0
2014-04-26,0.0,23.9,9.8,8.2,1.4,15.86,76.25,1.0
2014-04-27,0.0,22.9,12.8,7.0,2.4,17.34,77.75,1.333333
2014-04-28,0.0,22.9,11.0,9.5,2.6,16.8,67.75,1.333333
2014-04-29,0.0,24.3,14.0,6.1,3.0,18.26,73.25,2.333333
2014-04-30,78.2,19.1,14.6,0.0,2.2,15.82,98.25,2.666667
2014-05-01,138.5,20.5,14.6,4.7,0.3,16.14,87.5,2.0
2014-05-02,0.2,22.1,11.2,8.8,1.0,15.66,82.0,1.0
2014-05-03,0.0,25.1,13.2,9.6,1.6,18.58,80.75,1.0
2014-05-04,0.0,23.7,18.0,1.6,2.3,19.78,84.0,1.333333
2014-05-05,0.0,23.5,17.2,0.0,1.6,19.78,82.5,0.666667
2014-05-06,0.0,27.1,17.4,7.2,2.0,20.9,77.5,1.666667
2014-05-07,0.0,27.9,17.8,9.3,2.2,21.58,77.0,1.333333
2014-05-08,0.0,23.8,17.6,5.1,1.8,19.32,82.75,1.333333
2014-05-09,0.0,19.4,11.2,8.0,1.2,14.68,78.0,1.0
2014-05-10,0.0,20.4,9.9,9.4,2.0,14.7,69.25,2.0
2014-05-11,0.0,22.4,10.1,9.7,2.5,16.14,67.5,1.666667
2014-05-12,0.0,23.5,12.0,9.4,2.9,16.78,75.5,1.666667
2014-05-13,0.0,21.7,14.8,1.5,2.3,17.5,83.5,0.666667
2014-05-14,0.0,22.4,14.4,2.8,1.3,17.4,83.25,1.333333
2014-05-15,0.3,24.9,15.4,6.7,1.6,18.78,79.75,1.0
2014-05-16,7.1,22.7,12.4,9.8,1.8,16.78,76.5,1.0
2014-05-17,0.0,23.7,11.8,7.3,1.7,16.54,76.0,1.0
2014-05-18,0.0,23.9,13.0,9.5,1.9,17.3,75.0,1.0
2014-05-19,0.0,24.7,12.4,9.8,2.2,17.42,75.0,1.666667
