date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,5.0,32.2,24.6,2.4,2.4,27.02,90.5,2.0
2014-01-02,2.9,36.9,24.6,7.6,1.8,28.52,77.75,1.666667
2014-01-03,1.4,35.7,22.4,4.6,3.2,26.56,88.5,1.333333
2014-01-04,74.3,22.8,18.6,0.0,1.7,19.76,96.25,1.666667
2014-01-05,18.8,26.1,18.5,0.5,0.5,22.18,86.75,1.0
2014-01-06,0.0,28.9,22.1,0.7,1.2,24.48,90.5,2.0
2014-01-07,2.7,32.2,22.9,5.9,1.3,26.2,81.0,1.333333
2014-01-08,0.0,35.9,21.7,6.1,2.3,25.6,83.25,2.0
2014-01-09,44.1,30.1,22.2,1.8,1.6,25.44,83.5,1.666667
2014-01-10,0.0,35.8,24.5,8.0,1.9,28.16,80.0,1.0
2014-01-11,7.3,33.9,22.2,6.5,2.9,25.2,79.5,2.0
2014-01-12,42.8,27.7,20.9,0.3,2.7,23.74,89.75,1.333333
2014-01-13,37.9,30.1,20.6,1.7,0.9,23.08,90.25,2.0
2014-01-14,56.8,32.1,20.0,4.1,1.4,24.2,80.25,2.0
2014-01-15,5.6,32.5,20.1,5.4,1.3,23.84,83.5,2.333333
2014-01-16,23.2,31.4,20.2,6.2,0.8,24.44,80.5,2.0
2014-01-17,0.0,34.0,20.5,10.3,0.7,25.96,72.75,2.0
2014-01-18,0.0,34.6,20.5,11.3,0.8,26.06,70.75,2.666667
2014-01-19,0.0,36.3,20.7,11.2,3.7,26.82,70.5,1.666667
2014-01-20,0.0,35.0,21.4,10.0,3.8,26.58,64.75,1.333333
2014-01-21,0.0,35.2,19.4,10.9,3.6,26.8,72.0,1.333333
2014-01-22,0.0,38.4,24.3,8.3,2.9,29.1,67.0,2.333333
2014-01-23,0.0,38.1,23.3,9.6,3.4,27.86,77.75,1.666667
2014-01-24,0.7,36.3,22.6,6.7,1.4,27.14,76.75,5.0
2014-01-25,3.1,33.4,23.6,2.0,1.0,26.68,80.0,2.0
2014-01-26,0.7,32.8,22.8,4.4,0.5,26.76,77.75,1.666667
2014-01-27,0.0,35.7,24.9,9.2,0.6,28.68,73.75,1.333333
2014-01-28,0.0,36.9,25.5,8.5,0.7,29.34,72.5,1.333333
2014-01-29,0.0,39.4,25.3,10.8,3.4,29.98,67.0,1.666667
2014-01-30,0.0,36.6,23.0,9.2,4.8,28.42,72.75,1.666667
2014-01-31,0.0,36.9,24.6,7.5,3.0,29.46,74.0,1.666667
2014-02-01,0.0,37.4,25.8,6.8,2.8,29.46,72.0,1.333333
2014-02-02,0.0,37.7,23.5,10.6,3.2,29.06,68.5,1.0
2014-02-03,0.0,37.6,25.7,9.9,3.8,29.84,70.5,2.0
2014-02-04,0.0,38.0,24.3,8.5,3.6,29.04,67.5,2.333333
2014-02-05,0.0,38.2,24.8,7.8,3.6,29.78,72.75,1.666667
2014-02-06,0.0,38.8,25.5,7.8,4.1,29.96,68.25,1.333333
2014-02-07,0.0,39.6,24.4,11.3,4.6,30.58,68.5,1.0
2014-02-08,0.0,41.2,23.9,5.9,4.3,28.52,69.5,1.0
2014-02-09,0.0,39.7,21.5,11.4,4.7,29.76,64.25,2.333333
2014-02-10,0.0,38.5,22.5,11.5,6.3,28.42,65.5,2.666667
2014-02-11,0.0,36.6,21.7,11.0,5.2,27.92,71.0,2.0
2014-02-12,0.0,39.2,22.6,10.1,4.0,29.74,67.5,1.0
2014-02-13,1.0,35.5,21.6,6.7,4.2,24.94,83.0,3.0
2014-02-14,33.5,27.0,21.9,0.0,2.8,23.4,83.75,2.333333
2014-02-15,1.6,27.9,20.0,2.2,1.7,22.82,73.0,1.333333
2014-02-16,0.1,28.3,18.6,3.2,3.1,22.78,73.0,1.666667
2014-02-17,2.3,26.0,18.2,0.4,2.5,21.34,91.25,1.0
2014-02-18,5.7,27.9,18.7,2.8,0.9,23.22,79.25,1.666667
2014-02-19,3.0,29.5,20.1,3.1,1.8,23.7,76.75,2.0
2014-02-20,0.0,32.3,19.4,7.0,1.9,24.34,76.0,1.333333
2014-02-21,0.2,32.8,22.8,3.5,2.7,26.46,79.75,1.333333
2014-02-22,13.5,30.9,21.0,0.8,2.3,24.8,86.25,1.666667
2014-02-23,1.2,29.0,23.5,0.0,2.0,24.92,92.0,1.0
2014-02-24,35.4,34.3,21.0,7.2,0.8,25.1,78.25,1.666667
2014-02-25,0.0,35.4,20.6,10.1,2.6,26.3,75.25,2.333333
2014-02-26,0.0,33.0,22.4,3.4,3.0,25.54,88.5,2.0
2014-02-27,25.6,31.3,22.3,0.5,1.9,24.46,94.5,0.666667
2014-02-28,11.1,26.6,21.2,2.4,0.9,22.84,85.75,2.0
2014-03-01,0.4,31.5,20.3,10.4,1.2,24.42,71.75,2.333333
2014-03-02,0.0,30.4,20.5,5.5,3.9,23.98,75.0,1.0
2014-03-03,0.6,26.4,21.3,0.6,2.3,23.46,84.5,2.0
2014-03-04,0.0,25.3,21.1,0.5,1.4,22.72,94.25,1.333333
2014-03-05,69.6,28.9,20.7,2.2,0.6,23.42,88.75,1.333333
2014-03-06,5.6,33.3,19.5,10.5,1.0,25.26,71.25,3.0
2014-03-07,0.0,31.1,20.2,6.6,3.0,24.08,77.5,1.333333
2014-03-08,4.0,30.6,20.3,6.3,2.1,24.04,83.5,1.666667
