date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,4.6,25.4,18.6,0.5,1.9,22.0,92.25,1.333333
2014-01-02,3.6,27.8,18.0,4.2,1.1,22.56,86.0,2.0
2014-01-03,4.4,25.2,16.6,0.5,2.3,20.24,91.75,1.0
2014-01-04,38.7,18.2,13.7,0.0,0.9,15.7,96.5,0.666667
2014-01-05,4.6,25.0,12.9,4.4,0.5,18.3,92.0,0.333333
2014-01-06,0.0,26.2,15.8,9.2,1.2,20.76,83.0,2.0
2014-01-07,0.0,27.4,17.0,8.9,2.9,20.54,85.75,1.666667
2014-01-08,0.6,28.4,15.2,8.0,2.4,21.64,78.25,2.0
2014-01-09,0.1,29.0,16.0,7.9,3.2,21.08,80.5,1.333333
2014-01-10,0.2,29.7,19.5,7.9,2.3,22.84,83.75,1.0
2014-01-11,30.1,27.8,15.6,3.5,2.2,19.88,91.0,1.0
2014-01-12,20.5,23.2,16.0,0.5,0.9,19.4,93.75,1.333333
2014-01-13,15.3,23.8,16.0,1.6,1.2,19.6,93.0,0.333333
2014-01-14,5.8,26.4,14.5,4.7,0.9,19.46,85.5,1.333333
2014-01-15,0.0,24.2,15.6,4.8,2.2,19.2,88.25,3.0
2014-01-16,31.3,26.2,14.3,10.0,1.1,18.96,83.75,1.666667
2014-01-17,8.6,29.0,15.6,8.7,2.8,21.2,74.25,2.0
2014-01-18,0.0,28.8,14.5,10.0,3.2,21.3,61.0,0.666667
2014-01-19,0.0,30.2,14.8,12.2,4.5,22.64,67.75,1.0
2014-01-20,0.0,31.2,17.0,10.7,4.4,23.16,67.75,1.0
2014-01-21,0.0,31.0,15.0,11.9,4.7,23.52,71.25,1.333333
2014-01-22,0.0,33.0,17.6,11.8,4.5,24.6,69.25,1.333333
2014-01-23,0.0,30.8,18.6,9.2,5.1,24.28,85.25,0.333333
2014-01-24,1.4,29.4,17.6,8.8,2.7,23.16,82.25,2.666667
2014-01-25,3.9,25.4,18.0,2.3,2.7,20.8,87.75,1.333333
2014-01-26,7.9,26.2,15.0,6.9,1.3,20.56,83.0,2.666667
2014-01-27,0.0,29.8,18.4,8.6,2.3,23.44,81.25,2.0
2014-01-28,0.0,31.6,20.0,10.3,2.5,25.28,74.25,1.333333
2014-01-29,0.0,32.8,16.6,11.6,3.1,24.6,63.25,1.333333
2014-01-30,0.0,31.6,16.2,8.9,4.2,22.32,68.25,3.333333
2014-01-31,1.4,30.2,13.9,8.3,3.4,22.06,70.75,2.333333
2014-02-01,0.0,32.4,16.0,10.0,3.4,23.2,73.75,1.666667
2014-02-02,1.2,32.6,17.8,12.1,4.0,24.6,67.25,2.0
2014-02-03,0.0,30.6,17.4,8.6,4.8,22.68,71.5,3.666667
2014-02-04,0.1,32.2,16.4,7.8,4.0,24.56,73.75,1.666667
2014-02-05,0.0,32.2,18.4,8.4,3.8,24.52,80.75,2.333333
2014-02-06,0.0,34.0,19.0,10.4,3.6,24.12,73.25,1.666667
2014-02-07,9.3,34.2,17.2,9.8,3.9,25.4,69.0,1.333333
2014-02-08,1.8,31.8,17.2,5.5,6.7,22.28,84.0,1.333333
2014-02-09,37.2,32.6,13.9,9.2,2.3,22.26,74.0,0.666667
2014-02-10,0.7,32.6,16.0,8.5,3.4,23.24,71.0,1.333333
2014-02-11,2.8,30.4,16.0,10.9,3.8,23.08,70.0,1.066667
2014-02-12,0.0,32.8,17.6,10.7,4.6,23.52,76.25,1.333333
2014-02-13,0.0,28.0,16.0,4.7,4.6,20.84,91.5,1.333333
2014-02-14,54.0,20.4,14.5,0.0,1.4,17.06,80.0,2.0
2014-02-15,1.2,24.0,12.5,10.0,0.4,17.5,68.75,2.666667
2014-02-16,0.0,25.2,9.7,10.8,4.8,17.18,73.25,1.666667
2014-02-17,0.0,25.4,10.7,9.3,4.2,17.98,79.5,3.333333
2014-02-18,0.0,24.8,11.7,8.6,3.5,17.62,81.75,3.666667
2014-02-19,0.2,23.8,13.7,5.9,3.3,18.38,78.75,4.3333330000000005
2014-02-20,0.0,25.8,14.1,7.1,3.8,19.82,79.25,3.0
2014-02-21,0.0,25.8,16.4,2.8,3.0,19.76,89.0,2.0
2014-02-22,5.4,25.4,15.6,2.5,1.5,19.84,90.0,1.333333
2014-02-23,15.2,23.6,15.8,0.1,1.5,19.08,92.75,3.0
2014-02-24,24.8,28.2,15.8,8.2,1.4,21.36,81.75,1.333333
2014-02-25,0.0,29.2,14.8,11.7,2.4,22.36,80.25,0.666667
2014-02-26,2.7,27.4,17.0,5.9,2.7,20.84,89.0,1.0
2014-02-27,47.6,23.2,15.8,8.5,1.5,18.84,84.5,3.666667
2014-02-28,6.5,23.2,12.3,10.4,1.9,17.14,76.25,1.333333
2014-03-01,0.0,24.4,9.1,11.3,3.1,17.34,71.5,1.666667
2014-03-02,0.0,24.4,12.7,5.2,3.7,18.06,83.25,1.0
2014-03-03,0.0,22.0,14.3,1.6,2.4,18.1,86.0,3.333333
2014-03-04,12.2,20.0,14.8,0.0,1.7,17.32,91.25,3.0
2014-03-05,16.9,25.6,14.8,5.0,0.8,19.12,90.25,1.666667
2014-03-06,2.9,25.0,13.7,9.1,1.2,18.46,80.0,1.333333
2014-03-07,0.0,25.8,12.9,8.1,2.8,18.98,81.75,2.0
2014-03-08,4.1,24.0,13.9,4.5,0.5,17.26,88.5,1.333333
2014-03-09,1.1,25.6,12.7,5.2,2.2,18.66,87.0,2.0
2014-03-10,0.0,26.0,16.0,3.6,1.7,19.84,87.5,1.666667
2014-03-11,5.6,23.6,14.8,2.9,1.6,18.6,90.25,1.333333
