date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,30.9,22.2,9.5,3.4,25.34,76.75,1.666667
2014-01-02,0.0,31.1,21.0,9.7,4.4,25.12,75.25,2.0
2014-01-03,0.0,31.2,21.8,10.2,4.7,25.56,71.75,2.0
2014-01-04,0.0,31.2,21.9,10.2,5.4,25.48,67.5,2.166667
2014-01-05,0.0,30.7,21.4,8.6,5.6,25.34,68.25,1.666667
2014-01-06,0.2,28.4,21.1,1.4,5.3,24.56,72.25,1.5
2014-01-07,0.0,30.4,20.8,9.1,3.7,25.18,73.5,2.0
2014-01-08,0.0,30.1,20.6,7.2,4.8,25.06,69.5,1.833333
2014-01-09,0.1,30.7,20.8,8.6,4.0,25.28,77.25,2.166667
2014-01-10,0.1,31.3,22.6,7.2,4.3,26.08,75.25,1.833333
2014-01-11,0.0,31.5,22.5,8.3,4.7,25.86,72.25,1.666667
2014-01-12,4.6,30.4,22.0,6.8,4.6,25.5,75.75,1.833333
2014-01-13,0.3,30.2,21.2,6.0,3.8,25.06,78.5,1.666667
2014-01-14,8.0,30.5,22.2,6.2,3.5,25.34,78.25,1.666667
2014-01-15,0.0,30.9,22.0,7.8,3.8,25.52,70.75,1.833333
2014-01-16,0.0,31.3,21.4,9.8,4.7,25.62,69.0,1.5
2014-01-17,0.0,33.4,20.8,9.7,4.5,26.14,72.75,1.5
2014-01-18,0.0,32.8,22.8,9.5,4.3,26.44,74.5,1.833333
2014-01-19,0.0,32.7,22.5,8.9,4.0,26.28,73.25,2.0
2014-01-20,0.0,32.5,22.6,9.9,4.5,26.42,72.5,1.666667
2014-01-21,6.8,31.5,22.4,5.9,4.6,25.64,75.0,1.666667
2014-01-22,0.0,31.8,22.1,10.1,4.5,25.92,70.25,1.833333
2014-01-23,0.0,31.7,21.2,9.8,5.1,25.66,66.0,1.833333
2014-01-24,0.0,32.0,22.1,10.0,5.0,25.96,72.25,2.166667
2014-01-25,0.0,31.5,22.8,9.8,5.1,26.32,67.75,1.833333
2014-01-26,0.0,31.6,23.2,8.9,6.1,26.54,72.75,2.0
2014-01-27,0.0,30.9,22.8,8.4,4.4,26.32,71.0,2.0
2014-01-28,1.9,31.3,21.8,9.4,4.4,25.68,71.0,2.166667
2014-01-29,0.0,31.8,21.6,9.7,4.6,26.22,70.5,1.5
2014-01-30,0.0,30.9,22.1,8.8,5.3,25.8,71.0,1.666667
2014-01-31,0.0,30.4,20.8,7.1,5.2,25.44,72.75,1.666667
2014-02-01,2.1,30.5,21.4,5.9,4.5,25.16,76.5,1.333333
2014-02-02,0.6,28.3,21.1,2.6,4.0,24.1,86.75,1.5
2014-02-03,10.4,30.5,21.8,8.2,1.8,27.48,58.5,1.666667
2014-02-04,0.3,30.1,22.4,5.7,4.3,25.68,80.5,1.0
2014-02-05,12.3,30.3,21.9,9.7,2.3,25.34,78.75,1.5
2014-02-06,4.3,31.0,20.8,8.0,4.3,25.26,79.25,1.333333
2014-02-07,12.4,30.1,21.0,4.5,4.0,25.12,78.25,1.0
2014-02-08,0.6,29.5,21.6,3.7,3.4,24.74,82.75,1.166667
2014-02-09,4.1,28.1,21.2,3.8,2.3,24.76,81.5,0.833333
2014-02-10,8.0,30.3,22.0,4.8,2.3,25.44,77.5,1.5
2014-02-11,0.2,30.5,21.6,8.9,3.7,25.46,77.5,1.666667
2014-02-12,0.0,30.7,22.1,5.4,4.3,25.32,69.5,1.833333
2014-02-13,0.0,31.3,21.7,10.9,4.1,25.8,73.25,1.0
2014-02-14,0.0,32.1,22.4,10.5,4.8,26.2,71.0,1.833333
2014-02-15,0.0,32.3,22.2,9.9,4.9,26.42,75.25,1.333333
2014-02-16,0.0,31.1,23.3,9.0,4.4,26.22,75.75,1.666667
2014-02-17,0.0,32.1,22.4,10.2,3.9,25.88,69.5,1.5
2014-02-18,0.0,32.6,21.7,10.5,4.9,26.2,73.0,1.0
2014-02-19,0.0,32.6,23.0,5.9,5.7,26.76,73.75,2.0
2014-02-20,0.0,28.7,23.4,0.8,5.1,25.52,90.25,1.0
2014-02-21,19.3,30.6,22.8,7.7,1.0,25.82,80.25,1.166667
2014-02-22,0.3,29.5,22.6,6.9,3.9,25.44,78.0,1.5
2014-02-23,7.8,28.9,22.1,4.8,2.5,24.98,85.0,1.0
2014-02-24,3.1,30.7,22.6,7.5,2.2,25.9,77.75,7.4
2014-02-25,0.0,29.3,22.3,2.8,3.7,24.9,83.0,1.0
2014-02-26,0.0,30.9,21.4,7.7,2.8,25.6,76.0,1.666667
2014-02-27,0.3,29.7,22.2,1.7,3.8,25.48,85.25,1.666667
2014-02-28,0.0,29.5,22.8,0.1,3.0,25.44,81.75,1.166667
2014-03-01,0.0,29.4,23.7,0.0,2.7,25.92,81.5,1.166667
2014-03-02,0.2,29.4,23.4,3.0,2.5,25.5,82.25,1.0
