date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.6,21.4,8.8,0.0,27.3,63.5,5.8
2014-01-02,0.0,33.6,21.4,9.0,0.0,27.24,66.0,3.0333330000000003
2014-01-03,0.0,33.6,21.9,9.7,0.0,27.4,65.5,3.566667
2014-01-04,0.0,34.2,21.2,9.2,0.0,27.32,59.5,2.3666669999999996
2014-01-05,0.0,33.0,21.6,9.1,0.0,27.1,58.0,3.2
2014-01-06,0.0,33.0,22.2,4.8,0.0,27.3,63.0,2.3666669999999996
2014-01-07,0.0,33.1,22.0,7.1,0.0,26.44,70.5,2.3666669999999996
2014-01-08,0.0,30.2,20.6,1.7,0.0,25.88,70.0,3.9666669999999997
2014-01-09,0.7,34.2,21.5,6.1,0.0,27.3,65.25,3.7
2014-01-10,0.0,33.0,23.0,2.5,0.0,27.74,70.25,3.2
2014-01-11,0.0,33.4,22.4,7.6,0.0,27.26,65.0,3.433333
2014-01-12,0.0,33.8,23.2,8.8,0.0,27.46,62.25,3.0
2014-01-13,0.0,34.0,23.4,8.1,0.0,27.98,64.5,3.1333330000000004
2014-01-14,0.0,33.6,23.4,3.3,0.0,27.58,71.5,3.0333330000000003
2014-01-15,0.0,32.8,22.0,4.9,0.0,27.24,65.75,3.3
2014-01-16,0.0,33.0,21.6,8.1,0.0,27.06,63.5,2.4666669999999997
2014-01-17,0.0,35.8,21.4,8.6,0.0,27.92,62.5,3.066667
2014-01-18,0.0,34.4,23.8,5.7,0.0,28.34,64.75,3.333333
2014-01-19,0.0,34.6,23.6,8.3,0.0,28.26,63.75,3.1333330000000004
2014-01-20,0.0,35.6,23.2,8.7,0.0,28.58,60.0,3.6
2014-01-21,0.0,34.8,22.8,3.1,0.0,27.92,65.0,3.266667
2014-01-22,0.0,33.5,22.0,7.7,0.0,27.12,68.25,3.3666669999999996
2014-01-23,0.0,34.0,21.6,8.6,0.0,27.62,62.5,2.8
2014-01-24,0.0,34.2,21.8,8.6,0.0,27.5,61.5,3.8
2014-01-25,0.0,33.8,21.8,8.5,0.0,27.66,61.0,3.1333330000000004
2014-01-26,0.0,34.2,24.0,8.8,0.0,28.3,64.0,3.2
2014-01-27,0.0,32.8,24.0,7.9,0.0,27.42,67.5,4.566667
2014-01-28,0.0,31.5,22.5,1.8,0.0,26.7,76.5,3.566667
2014-01-29,0.0,33.6,23.0,4.2,0.0,27.4,72.75,2.6
2014-01-30,6.6,32.8,23.8,6.2,0.0,27.06,73.25,1.9333330000000002
2014-01-31,0.0,32.2,22.2,5.1,0.0,27.36,60.0,2.3666669999999996
2014-02-01,0.0,32.6,22.2,5.9,0.0,27.26,61.0,4.1666669999999995
2014-02-02,0.0,33.4,23.8,7.4,0.0,27.26,71.5,2.9
2014-02-03,18.2,32.2,21.2,4.2,0.0,26.32,75.5,2.3
2014-02-04,1.6,33.2,22.6,7.4,0.0,26.56,74.0,3.0
2014-02-05,0.0,32.6,23.3,8.3,0.0,27.4,64.5,3.5333330000000003
2014-02-06,0.0,30.6,24.2,2.0,0.0,26.38,83.0,2.233333
2014-02-07,2.0,32.2,23.2,5.1,0.0,26.94,71.0,1.9666669999999997
2014-02-08,0.0,33.4,22.2,7.5,0.0,27.26,67.25,2.766667
2014-02-09,0.0,33.4,22.0,3.8,0.0,26.9,82.75,1.4
2014-02-10,12.9,32.2,22.8,6.5,0.0,27.22,66.25,1.8666669999999999
2014-02-11,0.0,33.4,22.6,8.3,0.0,27.7,62.5,5.2
2014-02-12,0.0,33.4,22.2,8.2,0.0,27.32,65.75,2.733333
2014-02-13,0.0,34.0,21.5,8.8,0.0,27.64,66.0,2.6
2014-02-14,0.0,34.8,21.8,6.9,0.0,27.78,63.25,3.4
2014-02-15,0.0,30.0,22.6,4.8,0.0,28.3,58.75,3.6
2014-02-16,0.0,34.6,23.4,4.0,0.0,28.18,68.75,3.3666669999999996
2014-02-17,0.0,34.0,22.8,6.5,0.0,27.94,62.25,2.833333
2014-02-18,0.0,35.2,21.9,7.1,0.0,27.84,64.5,2.1333330000000004
2014-02-19,0.0,34.8,22.6,4.0,0.0,28.2,65.5,2.8666669999999996
