date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-02,5.8,32.6,16.0,0.0,0.0,24.72,0.0,1.02888
2014-01-03,0.0,32.6,18.4,0.0,0.0,24.72,0.0,1.54332
2014-01-06,8.4,32.6,15.8,0.0,0.0,25.2,0.0,1.2861
2014-01-07,0.0,33.6,15.0,0.0,0.0,25.56,0.0,1.02888
2014-01-08,0.0,33.6,18.0,0.0,0.0,25.56,0.0,1.02888
2014-01-09,8.4,31.0,15.0,0.0,0.0,25.52,0.0,1.2861
2014-01-10,0.0,31.0,16.6,0.0,0.0,25.52,0.0,1.02888
2014-01-13,0.0,32.6,16.6,0.0,0.0,25.52,0.0,1.54332
2014-01-14,0.0,32.6,14.8,0.0,0.0,25.52,0.0,4.732848000000001
2014-01-15,0.0,33.4,15.4,0.0,0.0,25.24,0.0,1.2861
2014-01-16,8.4,33.6,15.0,0.0,0.0,24.8,0.0,1.02888
2014-01-17,0.0,33.6,14.8,0.0,0.0,24.8,0.0,1.02888
2014-01-20,0.0,33.6,15.0,0.0,0.0,25.56,0.0,1.02888
2014-01-21,0.0,33.6,18.0,0.0,0.0,25.56,0.0,1.02888
2014-01-22,0.0,33.6,14.8,0.0,0.0,25.44,0.0,1.02888
2014-01-23,0.0,33.6,15.0,0.0,0.0,25.56,0.0,1.02888
2014-01-24,0.0,33.6,15.4,0.0,0.0,25.56,0.0,1.02888
2014-01-27,0.0,37.2,16.6,0.0,0.0,28.16,0.0,1.2861
2014-01-28,15.2,33.4,15.4,0.0,0.0,25.4,0.0,1.2861
2014-01-29,0.0,33.4,17.2,0.0,0.0,25.4,0.0,1.02888
2014-01-30,0.0,33.4,18.0,0.0,0.0,25.4,0.0,1.02888
2014-01-31,0.0,33.4,18.4,0.0,0.0,25.4,0.0,1.02888
