date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,30.5,19.0,2.1,5.4,25.14,0.0,1.5
2014-01-02,2.2,32.7,22.0,5.6,5.4,27.34,0.0,1.5
2014-01-03,0.0,34.1,23.4,10.3,6.6,29.14,0.0,1.5
2014-01-04,0.0,33.8,23.2,7.2,7.0,28.0,0.0,1.5
2014-01-06,1.1,33.2,22.0,6.6,7.0,28.08,0.0,1.5
2014-01-07,0.0,32.8,22.0,7.5,10.0,25.56,0.0,2.0
2014-01-08,7.4,31.7,22.5,6.4,7.5,26.68,0.0,1.5
2014-01-09,0.0,31.0,22.3,3.5,6.0,26.9,0.0,1.5
2014-01-10,0.0,33.0,22.2,10.0,6.5,26.4,0.0,3.0
2014-01-11,0.0,32.2,22.1,9.3,7.0,26.46,0.0,2.0
2014-01-13,2.2,30.0,21.2,3.6,7.0,24.76,0.0,1.5
2014-01-14,1.1,31.3,21.7,5.0,4.0,24.68,0.0,2.0
2014-01-15,3.8,31.7,20.0,9.2,4.0,26.86,0.0,1.5
2014-01-16,0.0,30.1,22.2,2.3,6.5,24.26,0.0,2.5
2014-01-17,0.0,31.2,21.3,4.7,4.9,24.82,0.0,1.5
2014-01-18,0.0,30.3,20.1,8.2,5.0,25.52,0.0,1.0
2014-01-20,0.0,32.0,20.7,9.3,5.0,27.94,0.0,1.0
2014-01-21,0.0,31.0,21.8,9.5,8.9,25.76,0.0,1.5
2014-01-22,0.0,31.2,22.4,4.4,6.2,26.28,0.0,1.5
2014-01-23,6.4,30.0,21.0,5.1,5.1,24.88,0.0,1.5
2014-01-24,0.4,31.3,22.2,5.8,5.8,25.3,0.0,2.5
2014-01-25,0.0,32.1,20.5,10.1,5.9,26.6,0.0,1.0
2014-01-27,4.4,32.5,22.2,8.5,5.9,25.46,0.0,1.0
2014-01-28,1.2,32.3,20.2,11.3,6.5,26.94,0.0,1.5
2014-01-29,0.0,32.5,21.0,11.6,10.9,27.3,0.0,1.5
2014-01-30,0.0,33.2,23.1,7.8,11.0,28.6,0.0,2.0
2014-01-31,0.0,33.7,22.9,11.1,9.5,28.8,0.0,2.0
2014-02-01,0.0,34.0,22.7,10.4,12.3,28.76,0.0,2.0
2014-02-03,0.0,34.0,23.2,7.0,12.3,28.88,0.0,2.0
2014-02-04,0.0,34.8,24.0,10.9,11.8,29.44,0.0,2.0
2014-02-05,0.0,35.5,22.7,10.4,11.2,30.36,0.0,1.5
2014-02-06,0.0,34.7,23.9,10.0,11.1,28.88,0.0,3.5
2014-02-07,0.0,34.8,23.0,10.0,14.4,29.08,0.0,3.0
2014-02-08,0.0,35.0,24.4,9.5,13.6,30.12,0.0,3.0
2014-02-10,0.0,35.8,22.9,6.1,13.6,29.02,0.0,2.0
2014-02-11,0.0,34.7,24.0,7.1,11.4,29.06,0.0,1.5
2014-02-12,0.0,34.5,24.6,4.0,9.8,29.3,0.0,1.5
2014-02-13,0.0,33.2,23.0,3.6,8.7,26.6,0.0,2.0
2014-02-14,8.2,30.2,21.3,2.6,6.2,26.14,0.0,1.5
2014-02-15,61.2,27.7,20.8,0.8,5.0,23.12,0.0,2.5
2014-02-17,5.0,28.2,21.2,2.9,5.0,23.32,0.0,1.0
2014-02-18,36.2,30.0,20.3,7.1,3.0,25.06,0.0,2.5
2014-02-19,0.0,30.7,19.8,9.6,5.0,25.58,0.0,2.0
2014-02-20,0.0,32.2,20.3,8.0,7.5,27.1,0.0,2.0
2014-02-21,0.0,31.2,22.7,0.9,7.0,25.94,0.0,1.0
2014-02-22,19.8,26.2,20.5,0.0,4.0,23.02,0.0,1.5
2014-02-24,5.3,29.4,21.5,0.5,4.0,24.74,0.0,1.0
2014-02-25,0.0,30.4,21.0,4.5,3.6,25.2,0.0,2.5
2014-02-26,0.0,32.2,20.5,5.4,5.4,26.14,0.0,1.0
2014-02-27,0.0,32.3,21.7,7.4,5.6,27.08,0.0,2.0
2014-02-28,14.5,28.7,20.4,2.2,5.9,24.22,0.0,1.5
2014-03-01,0.0,29.4,20.4,7.4,3.0,23.82,0.0,3.5
