date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,2.0,28.8,19.8,5.1,1.7,23.56,78.75,1.666667
2014-01-02,0.0,30.4,19.6,3.7,2.5,24.84,68.5,1.666667
2014-01-03,0.0,31.3,22.8,6.1,3.8,26.58,63.0,1.666667
2014-01-04,0.0,33.4,21.3,9.4,4.3,26.86,50.0,2.333333
2014-01-05,0.0,31.4,20.5,10.1,6.2,25.7,48.25,3.0
2014-01-06,0.0,31.1,20.7,8.3,6.5,25.48,47.5,2.333333
2014-01-07,0.0,30.2,20.3,7.5,6.8,24.72,54.0,2.666667
2014-01-08,0.0,30.0,19.9,4.9,6.2,24.66,51.25,2.666667
2014-01-09,0.0,31.0,20.5,5.7,6.0,25.62,51.0,2.333333
2014-01-10,0.4,29.8,19.6,5.7,5.2,22.96,76.75,3.666667
2014-01-11,18.0,30.6,19.6,6.6,3.0,24.08,67.0,1.666667
2014-01-12,0.0,31.0,21.2,5.4,3.8,24.4,68.25,3.0
2014-01-13,0.0,28.6,18.3,3.4,3.4,22.14,74.0,2.333333
2014-01-14,14.0,30.8,18.1,5.4,2.7,22.46,70.0,1.666667
2014-01-15,0.0,29.0,18.3,4.9,3.7,23.38,74.0,1.666667
2014-01-16,28.9,28.9,18.0,3.7,2.9,22.7,68.75,2.333333
2014-01-17,0.0,28.3,18.0,2.7,3.3,21.5,85.0,2.666667
2014-01-18,24.7,27.6,17.2,5.3,1.7,21.52,75.0,3.666667
2014-01-19,1.7,29.3,17.4,8.8,2.0,23.14,66.0,1.666667
2014-01-20,0.0,30.0,19.7,8.2,3.4,24.18,71.25,0.666667
2014-01-21,11.7,28.6,18.3,6.3,3.1,22.3,76.25,2.0
2014-01-22,0.0,28.8,19.6,2.1,3.5,23.8,66.75,2.333333
2014-01-23,25.7,28.6,19.6,4.6,2.9,23.24,69.25,1.666667
2014-01-24,0.0,28.8,19.4,3.9,3.1,22.52,79.25,2.0
2014-01-25,0.8,30.6,18.0,6.4,2.2,22.6,74.25,1.333333
2014-01-26,4.0,30.6,19.2,9.1,2.9,25.12,54.5,1.0
2014-01-27,0.0,30.4,20.6,7.0,5.0,23.84,66.25,2.666667
2014-01-28,0.0,29.4,18.9,9.7,4.0,24.22,45.25,3.333333
2014-01-29,0.0,29.8,18.1,9.3,7.0,24.54,45.25,2.666667
2014-01-30,0.0,30.8,19.2,7.7,6.2,25.2,54.75,0.666667
2014-01-31,0.0,31.2,21.2,8.1,6.2,25.68,48.5,3.666667
2014-02-01,0.0,31.4,20.8,5.7,7.4,25.6,46.75,3.333333
2014-02-02,0.0,30.2,20.4,2.6,7.4,24.24,46.5,2.666667
2014-02-03,0.0,30.8,20.0,5.5,6.9,25.48,46.75,3.0
2014-02-04,0.0,31.8,22.4,4.3,7.5,26.2,44.5,3.0
2014-02-05,0.0,33.0,22.4,7.6,7.9,27.2,47.25,3.0
2014-02-06,0.0,31.2,20.9,7.9,7.3,25.58,45.25,3.333333
2014-02-07,0.0,31.3,20.3,9.2,7.3,25.84,49.5,2.666667
2014-02-08,0.0,32.0,21.4,7.0,7.3,26.3,39.0,3.0
2014-02-09,0.0,32.5,19.7,8.3,7.4,26.36,39.75,2.0
2014-02-10,0.0,32.3,20.9,6.3,7.4,26.36,40.5,3.333333
2014-02-11,0.0,31.3,21.1,4.6,7.3,25.56,49.5,2.666667
2014-02-12,0.0,30.6,21.4,4.3,6.5,25.44,51.0,1.0
2014-02-13,0.0,31.4,21.7,2.2,6.4,25.5,55.0,2.333333
2014-02-14,0.0,30.4,19.3,3.6,4.9,23.86,67.25,2.333333
2014-02-15,1.0,26.4,18.4,0.3,3.1,20.48,93.75,2.666667
2014-02-16,36.2,25.4,18.6,0.0,1.0,21.72,86.0,1.333333
2014-02-17,0.0,27.6,18.8,0.3,1.3,21.52,92.75,1.666667
2014-02-18,44.6,28.0,18.3,4.5,1.3,22.34,72.75,3.0
2014-02-19,0.0,28.8,17.5,8.2,3.3,22.78,63.75,2.333333
2014-02-20,0.0,30.4,19.3,7.3,4.2,24.54,54.25,2.666667
2014-02-21,0.0,29.6,20.2,4.0,5.4,24.72,58.25,2.666667
2014-02-22,0.0,28.3,19.1,0.4,4.3,22.24,76.0,1.666667
