date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.0,32.7,23.0,5.3,3.1,25.78,89.0,1.5
2014-01-02,9.5,32.5,21.9,5.7,2.7,26.76,77.0,0.5
2014-01-03,0.0,35.2,22.8,8.8,4.7,27.56,73.0,1.0
2014-01-04,0.0,32.5,22.6,8.0,6.0,25.7,71.0,1.5
2014-01-05,0.0,32.2,21.0,7.2,6.7,24.4,83.0,1.5
2014-01-06,4.0,32.4,21.0,6.3,4.6,25.2,72.0,1.0
2014-01-07,0.0,34.0,20.5,9.2,6.4,26.38,67.0,1.0
2014-01-08,0.0,33.1,21.8,7.3,6.5,26.7,61.0,1.5
2014-01-09,0.0,32.7,21.4,5.8,7.0,26.18,71.0,0.0
2014-01-10,0.0,34.8,22.0,8.1,6.1,27.16,64.0,0.5
2014-01-11,0.0,34.2,21.6,8.7,6.4,27.0,69.0,1.0
2014-01-12,0.8,34.5,21.8,7.7,5.7,25.22,85.0,0.5
2014-01-13,13.8,27.8,19.4,2.3,4.1,23.12,85.0,0.5
2014-01-14,0.0,33.0,18.8,8.7,2.9,22.88,89.0,1.0
2014-01-15,49.2,31.2,18.5,5.7,4.7,24.34,76.0,0.0
2014-01-16,0.0,25.9,19.8,1.2,3.2,23.14,80.0,0.5
2014-01-17,0.2,31.1,19.4,9.8,2.5,24.42,77.0,0.5
2014-01-18,0.0,32.0,19.0,10.0,5.1,24.32,73.0,0.0
2014-01-19,0.0,32.3,19.4,10.1,5.8,24.74,73.0,0.5
2014-01-20,0.0,33.5,18.5,7.7,5.5,25.48,72.0,0.5
2014-01-21,0.0,33.4,21.8,10.2,5.5,27.16,71.0,1.0
2014-01-22,0.0,33.5,22.6,9.0,5.7,25.66,85.0,1.0
2014-01-23,12.6,33.6,21.4,9.9,4.5,26.48,76.0,1.0
2014-01-24,19.2,34.0,21.2,8.2,4.3,25.16,85.0,0.5
2014-01-25,3.4,33.0,19.6,9.6,3.4,25.68,79.0,0.5
2014-01-26,0.0,34.3,22.8,9.1,4.5,27.1,73.0,1.5
2014-01-27,2.2,35.2,22.0,8.8,5.8,27.36,76.0,0.5
2014-01-28,0.0,34.8,21.2,10.3,5.4,26.84,60.0,1.0
2014-01-29,0.2,35.0,22.4,8.9,5.8,28.16,56.0,1.0
2014-01-30,0.0,36.0,21.6,8.9,7.5,28.44,62.0,1.0
2014-01-31,0.0,36.7,21.0,9.8,7.2,28.54,48.25,0.666667
2014-02-01,0.0,37.4,21.8,10.3,8.5,29.32,53.25,0.666667
2014-02-02,0.0,36.4,22.9,10.5,8.9,29.26,50.25,1.666667
2014-02-03,0.0,36.7,24.7,9.6,8.8,29.48,55.5,1.333333
2014-02-04,0.0,36.8,24.7,9.1,7.5,29.62,52.25,1.0
2014-02-05,0.0,37.2,25.1,7.7,9.0,29.66,54.75,0.666667
2014-02-06,0.0,37.2,23.4,9.2,8.2,29.44,49.5,1.0
2014-02-07,0.0,36.8,22.6,10.1,8.5,29.04,51.0,1.0
2014-02-08,0.0,36.6,23.6,9.3,10.5,29.36,47.0,0.666667
2014-02-09,0.0,36.6,23.4,8.2,8.9,28.72,48.25,1.0
2014-02-10,0.0,36.0,22.8,8.1,7.9,28.56,50.25,1.0
2014-02-11,0.0,35.6,23.0,9.1,9.1,28.2,54.0,0.666667
2014-02-12,0.0,33.7,23.8,5.2,9.1,28.14,52.25,1.666667
2014-02-13,0.0,35.0,22.2,8.0,6.6,26.4,59.25,0.666667
2014-02-14,0.0,33.0,21.4,2.7,7.0,24.24,77.0,1.0
2014-02-15,35.4,25.8,20.8,0.0,3.7,23.08,81.0,0.333333
2014-02-16,1.5,28.2,21.0,2.7,2.2,23.36,81.25,0.666667
2014-02-17,9.0,28.4,20.8,7.5,3.6,23.44,67.5,1.0
2014-02-18,0.0,29.6,20.3,10.0,5.7,23.3,63.5,1.333333
2014-02-19,0.0,30.6,19.5,9.8,7.3,23.22,63.0,1.0
2014-02-20,0.0,33.0,19.9,9.4,6.6,25.54,62.5,0.666667
2014-02-21,0.0,32.7,22.0,6.2,5.1,26.9,61.25,1.0
2014-02-22,0.8,31.0,21.8,6.7,5.1,24.56,73.0,1.0
2014-02-23,2.4,30.4,20.8,3.7,3.5,23.6,79.0,1.333333
2014-02-24,20.3,26.9,19.9,0.1,2.2,23.32,81.5,0.666667
2014-02-25,0.0,29.3,20.3,1.1,2.2,24.0,71.25,0.666667
2014-02-26,0.0,33.5,20.3,9.8,3.5,26.52,63.25,0.666667
2014-02-27,0.0,33.5,21.8,8.0,5.2,26.06,67.5,1.0
2014-02-28,7.2,29.4,20.8,4.6,5.0,24.56,74.5,0.666667
2014-03-01,6.0,29.4,18.9,7.9,0.6,23.02,83.0,1.333333
2014-03-02,4.8,31.4,18.9,7.4,2.1,24.14,71.0,1.0
2014-03-03,0.0,30.4,20.8,6.2,4.4,24.68,68.75,1.333333
2014-03-04,0.0,32.0,21.6,4.8,5.6,25.04,68.5,0.666667
2014-03-05,15.4,24.2,20.6,0.2,3.4,22.2,93.0,0.333333
2014-03-06,15.3,30.2,20.3,5.1,0.7,24.06,81.0,0.333333
2014-03-07,0.0,30.6,20.3,8.1,2.7,23.34,78.5,1.0
2014-03-08,17.0,28.2,18.8,6.0,2.9,22.6,78.5,1.333333
2014-03-09,0.0,31.0,18.8,10.1,2.9,24.32,66.5,0.333333
2014-03-10,0.0,32.9,19.3,10.2,4.5,26.0,61.5,0.666667
2014-03-11,0.0,30.3,20.8,4.8,5.2,23.58,82.75,1.333333
2014-03-12,24.2,27.6,19.8,0.5,3.4,22.56,86.5,0.333333
2014-03-13,8.6,29.9,21.0,1.8,2.4,24.5,77.25,0.666667
2014-03-14,0.0,32.7,21.0,9.4,3.0,26.38,64.5,1.0
2014-03-15,0.0,33.2,21.8,9.7,4.7,26.8,65.25,0.666667
2014-03-16,0.0,34.0,23.4,8.3,5.4,27.28,64.75,0.666667
2014-03-17,0.0,33.1,22.0,9.6,4.4,26.86,58.0,1.0
2014-03-18,0.0,34.0,21.0,8.0,4.9,26.72,59.0,1.333333
2014-03-19,4.1,31.5,20.3,8.9,5.1,25.52,71.25,0.666667
2014-03-20,0.0,30.6,21.4,4.7,3.2,24.52,77.75,0.333333
2014-03-21,10.8,29.3,20.6,1.9,3.3,22.98,86.25,1.666667
2014-03-22,12.2,29.8,20.6,4.1,2.3,23.44,81.75,0.333333
2014-03-23,0.0,23.5,19.8,2.7,4.9,20.86,76.25,3.0
2014-03-24,0.0,26.0,18.7,7.7,4.6,21.22,71.5,1.0
2014-03-25,0.0,28.3,19.3,8.8,5.4,22.48,65.0,1.666667
2014-03-26,0.0,27.9,19.3,9.1,6.6,22.64,71.0,2.0
2014-03-27,0.0,30.0,19.3,8.8,5.6,23.46,69.25,0.666667
2014-03-28,0.0,30.9,19.3,7.6,5.1,23.84,68.25,0.666667
2014-03-29,0.0,30.6,18.9,6.8,4.8,23.98,72.5,0.333333
2014-03-30,0.0,26.4,21.4,4.3,4.2,23.64,77.5,1.0
2014-03-31,0.3,29.2,21.4,3.4,3.0,25.28,73.0,0.333333
