date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,37.9,17.2,10.9,5.3,27.38,0.0,0.0
2014-02-01,0.0,37.9,17.2,10.9,5.3,27.38,0.0,0.0
2014-02-02,0.0,38.1,19.2,9.5,5.5,27.86,0.0,0.0
2014-02-03,0.0,37.7,21.2,10.1,4.8,28.06,0.0,0.0
2014-02-04,3.4,38.3,20.6,9.2,4.5,27.7,0.0,0.0
2014-02-05,0.0,39.1,21.2,10.8,5.4,28.34,0.0,0.0
2014-02-06,0.0,39.5,19.2,10.8,5.5,27.86,0.0,0.0
2014-02-07,0.0,39.7,18.8,10.9,6.1,28.18,0.0,0.0
2014-02-08,0.0,39.9,19.8,8.2,6.0,28.18,0.0,0.0
2014-02-09,0.0,40.1,19.2,10.3,5.6,28.3,0.0,0.0
2014-02-10,0.0,38.1,18.6,7.9,5.9,27.06,0.0,0.0
2014-02-11,0.0,39.7,18.2,9.7,5.4,27.3,0.0,0.0
2014-02-12,0.0,38.3,17.4,9.8,5.7,26.9,0.0,0.0
2014-02-13,0.0,37.0,18.8,4.8,5.2,26.44,0.0,0.0
2014-02-14,0.0,35.6,21.4,5.6,6.1,25.6,0.0,0.0
2014-02-15,3.4,31.2,20.0,0.7,3.7,23.32,0.0,0.0
2014-02-16,19.0,29.4,20.4,0.6,1.5,22.64,0.0,0.0
2014-02-17,4.2,31.8,19.2,3.5,1.3,23.44,0.0,0.0
2014-02-18,0.0,29.2,19.2,4.9,1.9,22.16,0.0,0.0
2014-02-19,0.0,32.4,14.8,10.4,2.4,22.76,0.0,0.0
2014-02-20,0.0,34.8,17.0,10.0,3.2,24.68,0.0,0.0
2014-02-21,0.0,36.2,17.6,9.4,4.2,26.4,0.0,0.0
2014-02-22,0.0,35.2,19.2,5.7,4.3,25.48,0.0,0.0
2014-02-23,0.0,35.2,18.8,7.9,4.6,26.4,0.0,0.0
2014-02-24,0.0,34.4,21.6,4.5,4.2,25.64,0.0,0.0
2014-02-25,11.2,34.6,19.8,5.1,3.0,24.28,0.0,0.0
2014-02-26,0.0,36.2,18.4,10.7,2.8,26.28,0.0,0.0
2014-02-27,0.0,36.6,19.8,9.5,4.1,27.4,0.0,0.0
2014-02-28,1.2,31.4,21.6,2.8,4.4,25.04,0.0,0.0
2014-03-01,0.0,32.4,20.0,3.2,3.0,24.44,0.0,0.0
2014-03-02,0.0,34.0,19.4,8.1,3.7,24.68,0.0,0.0
2014-03-03,0.0,33.8,19.0,6.5,3.0,24.56,0.0,0.0
2014-03-04,0.4,33.2,19.0,5.4,2.6,24.56,0.0,0.0
2014-03-05,2.4,28.8,20.0,0.0,2.5,23.24,0.0,0.0
2014-03-06,1.0,32.4,18.4,7.2,1.6,22.96,0.0,0.0
2014-03-07,55.0,31.6,18.4,6.5,2.3,22.88,0.0,0.0
2014-03-08,11.2,26.8,19.8,1.9,2.2,21.8,0.0,0.0
2014-03-09,3.8,33.4,18.6,7.4,1.4,24.16,0.0,0.0
2014-03-10,0.0,35.4,18.2,10.1,3.4,25.68,0.0,0.0
2014-03-11,0.0,35.0,18.4,6.0,4.5,24.28,0.0,0.0
2014-03-12,0.0,33.8,20.0,5.0,3.0,25.24,0.0,0.0
2014-03-13,0.0,34.6,19.0,4.7,2.9,23.84,0.0,0.0
2014-03-14,17.2,34.4,19.4,8.7,2.7,25.56,0.0,0.0
2014-03-15,0.0,36.2,19.2,9.9,3.1,26.2,0.0,0.0
2014-03-16,0.0,35.2,19.0,7.9,3.9,25.08,0.0,0.0
2014-03-17,0.0,35.6,18.2,8.9,3.6,24.96,0.0,0.0
2014-03-18,0.0,35.4,19.0,9.4,3.5,24.8,0.0,0.0
2014-03-19,0.0,34.4,18.0,7.3,3.7,23.96,0.0,0.0
2014-03-20,0.0,34.8,19.0,7.4,3.5,24.72,0.0,0.0
2014-03-21,2.4,31.4,21.2,0.7,3.8,24.24,0.0,0.0
2014-03-22,4.4,31.8,19.8,5.7,2.5,23.84,0.0,0.0
2014-03-23,0.0,25.4,19.2,0.1,2.9,20.68,0.0,0.0
2014-03-24,0.0,26.4,18.2,0.0,2.0,20.44,0.0,0.0
2014-03-25,0.0,26.2,14.8,4.5,2.1,20.24,0.0,0.0
2014-03-26,0.0,30.0,16.8,4.9,2.2,22.28,0.0,0.0
2014-03-27,0.0,31.0,16.0,8.0,2.0,23.0,0.0,0.0
2014-03-28,0.0,32.8,16.8,8.4,3.0,23.0,0.0,0.0
2014-03-29,0.0,32.0,18.2,6.6,2.6,23.08,0.0,0.0
2014-03-30,0.0,33.4,18.6,5.9,3.0,23.4,0.0,0.0
2014-03-31,0.6,30.8,19.8,1.1,2.6,23.28,0.0,0.0
2014-04-01,0.0,33.0,19.6,5.1,1.4,23.52,0.0,0.0
2014-04-02,1.0,30.8,20.2,4.6,1.9,23.68,0.0,0.0
2014-04-03,1.2,32.2,20.0,7.3,2.3,23.88,0.0,0.0
2014-04-04,0.0,26.4,18.6,0.9,1.8,20.8,0.0,0.0
2014-04-05,12.4,29.2,14.4,10.0,1.4,20.88,0.0,0.0
2014-04-06,0.0,32.2,14.8,9.7,3.0,21.8,0.0,0.0
2014-04-07,0.0,33.4,14.6,9.0,3.0,21.92,0.0,0.0
2014-04-08,0.0,31.8,16.2,6.3,2.8,22.16,0.0,0.0
2014-04-09,0.0,33.0,17.0,4.6,2.6,23.44,0.0,0.0
2014-04-10,0.0,32.4,17.2,7.1,2.8,23.68,0.0,0.0
2014-04-11,0.0,33.6,18.8,7.8,3.3,24.92,0.0,0.0
2014-04-12,0.0,33.0,18.4,8.1,3.1,24.96,0.0,0.0
2014-04-13,18.6,31.2,20.2,4.3,4.0,23.96,0.0,0.0
2014-04-14,6.6,23.5,19.2,0.0,2.4,20.54,0.0,0.0
2014-04-15,0.0,20.3,18.0,0.0,1.2,19.06,0.0,0.0
2014-04-16,12.6,26.2,18.4,1.7,1.4,21.28,0.0,0.0
2014-04-17,0.2,29.4,19.2,5.9,1.7,21.94,0.0,0.0
2014-04-18,0.0,32.6,18.0,7.5,2.0,23.44,0.0,0.0
2014-04-19,0.0,32.0,19.2,5.8,2.3,23.68,0.0,0.0
2014-04-20,0.0,30.4,19.8,4.7,2.2,23.44,0.0,0.0
2014-04-21,0.0,30.2,18.0,7.0,2.4,22.24,0.0,0.0
2014-04-22,0.0,29.8,15.6,4.7,2.1,22.2,0.0,0.0
