date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.4,34.9,21.7,10.1,2.6,27.7,76.0,1.0
2014-01-02,11.4,36.0,23.7,9.4,3.5,28.12,64.75,1.1
2014-01-03,5.8,32.0,22.1,7.9,4.9,26.02,76.5,0.8
2014-01-04,3.6,31.4,21.9,6.6,3.6,26.32,78.25,0.666667
2014-01-05,22.6,32.1,20.5,6.6,2.4,26.34,80.25,1.7333330000000002
2014-01-06,6.0,33.2,19.9,6.6,3.1,25.44,76.0,0.8
2014-01-07,16.0,35.2,20.4,10.4,2.9,27.08,72.25,1.0
2014-01-08,0.0,36.3,22.1,9.4,4.4,27.78,71.75,1.2
2014-01-09,0.0,32.3,23.1,2.9,4.7,27.0,77.0,0.0
2014-01-10,0.2,28.3,21.5,3.8,2.7,24.44,86.75,0.733333
2014-01-11,4.3,32.3,20.7,5.0,1.9,24.7,85.25,1.066667
2014-01-12,29.8,25.7,21.5,0.0,1.1,23.22,92.75,1.4
2014-01-13,0.0,32.5,21.3,5.4,0.9,26.44,80.25,0.4
2014-01-14,0.0,30.9,22.3,1.5,3.3,24.8,81.0,2.0
2014-01-15,5.4,32.5,21.0,5.0,3.2,25.04,81.0,0.533333
2014-01-16,5.7,34.0,21.4,10.0,2.8,27.3,75.25,0.933333
2014-01-17,9.0,30.8,22.9,1.3,3.7,25.5,89.0,0.666667
2014-01-18,0.3,31.8,22.4,4.7,1.6,26.02,90.0,1.066667
2014-01-19,5.7,34.1,22.0,9.3,1.7,27.36,85.75,0.8
2014-01-20,14.0,29.8,21.9,1.6,3.9,24.08,90.75,1.533333
2014-01-21,60.1,28.8,21.4,2.1,1.1,25.34,88.25,0.933333
2014-01-22,9.0,30.6,22.3,2.3,1.5,24.72,86.75,0.266667
2014-01-23,1.8,32.3,22.2,2.9,1.7,26.16,83.75,1.7333330000000002
2014-01-24,0.0,31.6,23.1,3.9,2.4,25.56,85.75,1.666667
2014-01-25,7.1,29.8,21.8,2.6,2.8,25.58,86.25,1.066667
2014-01-26,32.3,29.5,21.1,1.4,2.2,25.02,80.75,0.533333
2014-01-27,1.1,29.7,20.6,2.6,2.8,23.88,90.5,2.1333330000000004
2014-01-28,30.2,26.6,21.1,0.0,1.7,23.52,92.0,0.666667
2014-01-29,2.2,33.2,21.2,4.2,1.1,24.38,82.25,0.8
2014-01-30,6.4,34.2,21.5,4.4,2.9,26.5,83.25,0.666667
2014-01-31,0.0,32.0,22.3,5.5,3.2,26.18,76.75,1.2
2014-02-01,1.0,31.6,23.1,1.4,2.6,26.96,80.75,0.4
2014-02-02,0.0,31.5,23.3,4.3,3.0,25.78,90.25,0.1
2014-02-03,8.7,35.5,22.1,6.1,1.5,28.14,75.0,0.333333
2014-02-04,0.0,31.8,22.9,5.8,4.2,25.72,81.0,0.2
2014-02-05,2.5,35.8,22.2,9.7,2.3,28.12,70.0,0.3
2014-02-06,11.4,35.6,22.5,0.0,4.1,26.12,88.0,0.966667
2014-02-07,3.7,32.3,22.4,7.0,1.1,25.76,81.0,0.333333
2014-02-08,8.7,27.5,21.9,0.0,2.8,24.14,90.0,0.23333299999999998
2014-02-09,5.5,31.3,21.7,4.4,1.0,24.42,94.5,0.06666699999999999
2014-02-10,9.7,32.8,21.9,6.3,1.7,25.28,83.25,0.366667
2014-02-11,5.0,32.5,22.7,5.7,3.0,25.78,85.5,0.23333299999999998
2014-02-12,30.1,24.3,21.7,0.0,1.7,22.98,96.75,0.1
2014-02-13,44.5,30.8,21.5,5.7,0.7,25.64,87.25,0.266667
2014-02-14,2.0,27.8,22.9,1.3,2.6,25.4,83.5,0.23333299999999998
2014-02-15,0.0,32.5,22.7,4.0,2.3,25.7,85.5,0.366667
2014-02-16,9.2,29.3,22.1,0.6,3.0,24.4,87.75,1.0
2014-02-17,2.8,31.8,21.7,3.5,2.3,24.82,85.5,1.0
2014-02-18,42.5,25.8,21.1,0.0,3.3,23.64,88.75,0.666667
2014-02-19,4.7,30.4,21.5,1.6,0.6,24.48,90.0,1.266667
2014-02-20,25.4,30.8,21.5,2.2,1.8,25.8,77.25,1.333333
2014-02-21,4.1,32.9,21.9,3.3,3.1,26.04,81.25,0.0
2014-02-22,19.7,27.3,21.9,0.0,3.0,24.3,89.25,1.666667
2014-02-23,0.9,34.3,21.5,6.3,2.0,27.02,75.0,1.4
2014-02-24,0.0,34.2,22.5,2.6,3.2,27.08,68.25,1.7333330000000002
2014-02-25,19.5,28.4,20.9,0.2,3.9,24.16,92.75,1.266667
2014-02-26,0.0,33.2,20.7,6.5,2.0,26.38,83.75,1.2
2014-02-27,14.5,26.8,20.7,0.0,3.1,23.52,88.75,1.4
2014-02-28,5.0,30.8,20.4,4.3,1.1,24.9,89.0,0.8
2014-03-01,11.6,28.8,22.4,1.2,2.6,25.0,80.5,1.266667
2014-03-02,0.0,33.9,22.4,7.0,2.5,25.9,75.75,2.0
2014-03-03,2.3,27.4,22.9,0.3,4.2,24.88,90.25,0.68592
2014-03-04,52.1,31.0,22.2,3.4,1.3,25.86,78.25,0.34296
2014-03-05,2.4,30.4,22.7,1.0,2.3,25.7,91.25,1.02888
2014-03-06,4.5,27.8,22.9,0.5,1.4,24.54,89.75,0.4
2014-03-07,7.2,32.0,21.3,5.4,1.3,25.66,79.75,0.68592
2014-03-08,0.0,33.7,21.5,9.2,3.7,27.58,71.5,0.9714799999999999
2014-03-09,116.2,28.2,21.0,0.0,5.3,24.56,83.25,0.34296
2014-03-10,8.4,33.9,21.0,6.2,1.5,26.36,80.5,0.666667
2014-03-11,28.2,28.8,21.5,0.0,3.0,24.76,89.75,0.4
2014-03-12,3.4,31.3,22.4,3.6,1.3,25.94,84.25,1.466667
2014-03-13,5.9,34.8,22.5,8.8,2.0,26.66,78.75,0.68592
2014-03-14,2.4,37.2,22.9,5.2,3.0,28.78,70.5,0.68592
2014-03-15,0.0,33.6,23.4,5.9,4.5,27.6,75.75,1.2
2014-03-16,4.3,30.3,23.1,1.3,3.7,24.94,89.25,0.8
2014-03-17,2.5,34.8,22.7,2.2,1.9,26.92,78.25,1.466667
2014-03-18,25.0,34.2,21.4,6.4,2.2,27.14,79.0,0.23333299999999998
2014-03-19,0.0,32.8,22.9,4.2,3.4,27.3,79.75,1.5
2014-03-20,3.7,34.0,23.9,4.4,3.0,26.54,85.0,0.23333299999999998
2014-03-21,5.2,34.5,22.8,6.7,2.2,27.12,78.0,0.23333299999999998
2014-03-22,0.0,32.8,22.9,4.6,3.3,26.84,86.25,0.4
2014-03-23,1.7,32.7,24.9,5.0,2.5,27.14,82.0,1.1
2014-03-24,0.0,29.5,21.7,1.1,2.7,23.98,85.0,1.166667
2014-03-25,63.3,33.4,20.9,7.2,2.0,26.12,76.5,0.266667
2014-03-26,1.3,31.6,22.7,4.9,2.8,25.96,83.5,1.14296
2014-03-27,5.0,30.4,22.2,4.9,1.9,25.66,79.0,2.4
2014-03-28,3.7,33.0,22.8,6.4,1.9,26.76,72.0,3.333333
2014-03-29,0.0,30.2,23.7,2.8,4.2,25.3,79.75,2.4
2014-03-30,3.3,32.2,22.3,4.1,2.0,26.56,78.25,0.933333
2014-03-31,0.0,36.1,23.1,9.2,3.2,29.24,62.75,2.667027
2014-04-01,0.3,33.2,22.9,7.0,4.1,27.14,83.75,3.8666669999999996
2014-04-02,31.3,32.2,21.5,7.0,2.7,26.0,75.5,1.7333330000000002
2014-04-03,0.0,33.6,22.3,7.1,3.2,27.42,76.75,1.333333
2014-04-04,0.0,32.8,23.7,4.8,3.4,26.64,84.75,1.7333330000000002
2014-04-05,7.5,33.2,23.1,5.9,2.2,27.0,77.25,3.066667
2014-04-06,0.0,31.7,23.1,3.6,2.7,26.14,88.75,0.4
2014-04-07,51.2,33.1,21.3,5.4,1.7,26.14,83.75,0.266667
2014-04-08,0.0,34.3,22.1,8.0,2.4,27.74,75.0,0.666667
2014-04-09,3.7,30.2,22.1,2.6,3.3,25.68,89.25,0.866667
2014-04-10,25.0,30.3,21.9,3.1,1.6,25.02,86.75,3.066667
2014-04-11,9.9,32.5,22.3,7.1,2.1,26.14,85.25,1.2
2014-04-12,15.5,30.4,22.9,2.6,2.5,25.72,77.25,2.8
2014-04-13,0.0,36.5,21.1,10.0,3.1,27.7,72.0,1.7333330000000002
2014-04-14,0.0,35.6,23.3,8.4,4.2,27.88,73.5,1.2
2014-04-15,0.0,35.6,23.2,6.4,4.7,27.7,73.5,1.333333
2014-04-16,0.0,31.3,22.3,6.2,3.7,25.46,84.5,0.933333
2014-04-17,7.5,35.8,21.5,9.8,2.7,27.92,70.75,1.9333330000000002
2014-04-18,0.0,31.8,23.7,3.0,4.2,26.4,81.5,1.266667
2014-04-19,0.0,34.2,23.2,7.4,2.5,27.84,77.5,1.2
