date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.7,23.0,9.2,1.9,28.14,73.75,0.17148
2014-01-02,0.6,35.5,23.2,9.5,3.2,29.22,63.5,0.68592
2014-01-03,3.6,33.9,23.6,8.3,5.7,26.88,80.5,1.266667
2014-01-04,35.4,33.3,22.3,9.3,3.6,26.02,83.5,0.0
2014-01-05,29.3,32.2,21.6,5.7,2.6,25.34,81.0,0.266667
2014-01-06,1.2,34.0,21.7,9.8,2.8,27.92,66.0,1.466667
2014-01-07,0.0,34.3,23.0,9.6,3.8,27.96,69.75,0.533333
2014-01-08,0.0,34.1,23.7,7.9,3.9,28.36,69.5,0.538147
2014-01-09,0.0,33.1,24.1,2.6,4.2,27.94,75.0,0.538147
2014-01-10,0.0,31.3,21.3,4.7,4.0,24.98,84.5,0.57148
2014-01-11,27.3,31.7,21.2,3.4,2.2,24.84,85.75,0.838147
2014-01-12,12.6,27.9,21.4,1.4,2.0,22.98,92.75,0.966667
2014-01-13,2.8,32.3,20.9,3.7,1.2,26.36,80.75,0.666667
2014-01-14,0.0,32.6,23.4,3.5,2.7,26.48,83.0,0.51444
2014-01-15,9.6,31.8,21.4,2.3,2.6,25.16,73.0,1.124067
2014-01-16,0.0,34.1,21.5,9.1,2.9,27.4,73.75,0.57148
2014-01-17,6.4,30.2,23.7,3.6,4.5,26.42,82.75,0.8574
2014-01-18,0.3,33.1,23.2,5.8,2.2,26.64,82.5,0.8
2014-01-19,1.8,35.4,22.9,8.9,2.7,28.56,74.0,0.876293
2014-01-20,1.0,30.2,22.0,1.8,4.0,24.44,88.25,1.6
2014-01-21,2.9,30.4,22.2,3.2,2.2,25.88,82.75,0.0
2014-01-22,17.4,30.5,21.2,3.2,1.4,24.14,97.0,0.0
2014-01-23,10.6,30.5,20.7,1.2,1.1,25.52,91.5,0.704813
2014-01-24,0.4,29.4,22.8,2.3,1.6,25.84,83.25,0.7429600000000001
2014-01-25,17.4,31.1,22.3,3.5,2.4,24.8,85.0,0.37148000000000003
